target,1rank,2rank,3rank
435,435,2293,65
1913,1913,1566,2331
977,977,1684,90
2718,1099,2718,2298
1875,1875,2231,2534
1098,1098,1909,975
395,395,2489,887
2092,2092,115,1673
24,24,2654,2259
394,313,1635,2524
1457,1449,1457,2119
389,389,795,1033
29,29,66,962
1876,2629,530,1690
2380,2380,1879,551
811,811,895,2061
812,812,193,40
1456,1456,1320,1316
2719,2719,11,1379
35,35,1852,403
1111,2698,1111,2189
1526,1526,2725,1631
822,822,1212,1306
2074,605,2074,655
2072,2072,2383,372
2540,2540,787,1596
1537,1537,221,1953
2065,2065,2091,562
1461,1461,1406,1952
2374,2374,517,1024
2674,238,1998,1289
301,301,363,781
211,2017,211,2303
903,903,1452,2015
2349,2349,2000,1664
200,2687,1975,200
183,183,17,2595
182,182,2578,1742
181,181,993,2096
180,180,2067,2599
179,179,971,1061
989,989,322,154
2348,2348,726,1623
937,937,1866,1797
1727,1727,2680,788
2686,2686,295,392
2692,2692,2084,15
2335,2335,1940,1307
146,146,2103,2018
1742,1742,674,84
1009,1009,2462,2095
2343,2343,626,2344
1940,1940,1302,2705
1941,1790,1941,361
144,144,2732,290
1748,1748,1907,2127
923,923,1307,2730
142,142,931,2161
1754,1754,1630,2475
139,139,1390,98
2666,2083,28,2354
1951,1951,595,2455
1738,1738,2300,1459
1806,1547,1806,2630
215,215,1577,1352
2000,2000,1799,30
2588,2588,447,1982
1608,1608,1799,1695
926,926,237,2650
292,292,1712,2060
855,163,1010,1321
939,780,939,2315
290,290,2441,2732
2022,2022,662,1225
1625,2613,1625,1848
46,46,153,2491
2021,2021,1517,304
47,1750,257,638
49,49,369,428
2699,836,2699,1930
1630,1630,737,222
1818,1818,1299,1355
57,57,845,1556
1678,1678,1332,699
1676,1676,54,762
2693,2693,1311,465
1671,1671,2099,998
1808,1808,1869,317
2012,1437,2012,2590
1839,1839,2714,1115
2293,435,2293,65
247,247,2686,98
874,874,2642,1240
1421,469,1960,1421
2363,2363,414,1453
867,867,1431,2059
865,865,477,2688
245,245,1399,2441
2129,2129,2220,474
451,451,442,2143
1418,1418,2320,2712
1262,1262,2424,2497
2489,2489,395,197
634,634,2117,1566
508,508,1514,618
505,505,2091,1804
1190,1190,2126,1660
2495,2495,202,1478
500,500,1722,129
2153,2369,2153,32
2163,2163,1060,2097
686,686,307,1226
1374,1374,699,679
2435,2435,1879,871
662,2022,662,1225
2434,163,1010,1321
733,738,733,1394
482,1833,482,1154
2433,2433,1987,296
738,738,733,1394
747,747,1968,432
683,683,1917,1588
656,656,2414,2619
1390,139,1390,98
2213,2213,613,307
1417,1417,2172,1469
595,595,1191,2513
2395,2395,2557,2000
2453,2453,383,1591
564,564,263,63
1178,1178,1706,2118
618,618,98,468
2480,2480,1613,561
536,536,1154,615
2232,2232,704,2642
2179,2179,1981,1397
1317,1317,805,1543
1319,1319,102,2569
2487,2487,1759,1746
1269,1269,1202,1966
1325,540,1325,675
1172,1172,1697,1318
712,304,1517,712
1164,1164,555,2556
1275,1275,712,561
537,537,706,123
2421,2421,1222,2068
1351,1351,713,343
2422,2422,186,2709
1619,1619,2525,377
1620,1620,1621,1966
1621,1621,1620,173
1622,1622,1840,2209
1623,1623,2348,2238
2384,163,1010,1321
1385,1385,722,2542
1527,464,1527,1897
862,492,1321,2144
2196,1901,2196,2493
1113,1375,1113,2413
1664,1664,739,1181
1234,1482,1234,1241
788,788,1640,1069
797,797,1646,582
430,430,246,1247
765,753,765,379
265,2083,28,2354
2350,2350,1731,1847
41,41,282,1047
1454,1454,716,1163
815,815,2231,805
743,743,1006,918
924,924,2187,906
980,6,980,966
1702,1702,1721,196
1005,1005,1255,1979
1611,163,1010,1321
1612,1612,1881,2331
17,17,183,64
1651,1651,1432,651
1652,1652,905,1860
888,888,186,2422
1663,1663,1496,830
894,894,2388,1899
1677,1677,375,137
565,565,706,123
2634,2634,740,808
2716,2716,434,1255
74,74,533,1904
384,384,818,2475
1870,1870,2658,2137
390,390,2185,1525
2296,1592,2548,619
658,658,1142,1930
2133,2133,424,1543
1918,1918,1691,2503
809,809,1160,1846
1852,1852,35,399
2208,2208,2460,1198
320,490,148,320
687,687,2652,1312
2352,2352,2255,551
325,325,282,48
326,326,1522,190
327,327,2125,1499
1359,1359,2608,108
2302,2302,151,734
398,398,2108,2313
1006,1006,405,743
910,2325,2448,910
674,84,674,2060
1720,1558,1720,801
637,58,1963,637
676,1448,676,1023
675,540,1325,675
1731,1731,1082,2350
1254,1153,1254,1818
1386,492,1321,2144
1636,1636,1950,1763
403,403,525,2576
1730,1688,1792,1730
1371,2039,1371,2550
2173,2173,1995,2287
1858,1858,2419,110
1482,1482,1234,1241
2332,2332,885,1309
2247,137,2230,39
2042,2042,4,2664
1796,1796,2669,1717
554,554,1870,1183
2399,2399,1887,1002
132,132,561,885
982,982,2510,1812
1549,642,1549,1499
127,576,127,1043
438,163,1010,1321
378,378,1675,72
1560,1253,1560,2407
535,535,1723,909
377,377,1619,2640
639,639,2520,1834
801,1558,1720,801
1616,1616,2193,1458
1337,1337,2715,2054
414,414,2557,2028
1770,1214,949,1770
806,806,13,844
544,492,1321,2144
944,944,635,568
493,493,158,1994
1380,1380,1395,586
2575,2575,1939,561
869,869,1650,2130
2577,2577,875,2007
1182,1182,1119,644
193,193,1658,314
412,2549,412,1387
666,666,2186,1593
1752,1752,795,564
1989,1989,2483,1582
1391,1367,1391,1925
2643,2643,2661,2652
103,103,1429,201
1536,1536,906,611
369,369,610,2331
2370,2370,1589,1095
366,366,566,2540
1370,1370,833,1009
1548,2180,1548,867
357,357,1920,2546
1682,1682,587,2071
197,197,1778,1147
931,931,1445,2386
166,166,749,2071
2469,2469,2193,2500
104,2645,104,645
102,102,1319,1681
1943,1943,548,653
635,635,1081,1225
2444,2444,885,2023
59,59,325,2441
410,410,157,1315
895,895,811,904
1265,946,1265,2394
2132,2132,2686,1569
928,1033,785,928
929,238,1998,1289
1141,1141,1927,2413
1890,1890,2409,1283
580,580,401,2729
678,678,2229,2672
2414,2414,2208,2460
1273,1273,1551,2169
2657,2657,1059,1016
421,421,1423,2624
2239,2239,1206,207
2331,2331,2010,1881
2109,2109,340,2712
1830,994,417,2347
1343,1343,81,1544
1283,2409,1283,316
455,455,2723,551
1476,1138,1056,1476
1478,1478,202,2657
1477,1477,658,1962
1475,1475,1929,930
1473,1473,2242,2190
1474,1474,45,1866
2113,2113,1618,1060
2470,2470,976,472
2164,2164,1551,12
1563,512,1563,2172
1564,163,1010,1321
1565,1565,2165,411
1566,1566,621,446
1567,1567,155,2728
2165,1565,2165,411
1568,1568,2122,1736
825,825,1596,1571
1357,1357,1054,2636
619,1592,2548,619
1581,254,1693,978
228,228,1265,1376
1324,1324,1118,429
1323,1323,399,1469
2243,1285,2243,2626
2324,3,2324,519
661,661,1888,292
844,844,1087,2137
2231,2231,781,363
2325,2325,2448,910
2323,2323,135,2665
2430,943,1413,2321
1821,298,1821,2703
1872,1872,195,1305
813,813,1882,22
2711,2711,1237,2659
1115,1115,1839,1094
397,397,2625,106
640,640,2409,1283
61,531,859,61
151,734,151,2302
2372,876,2372,1026
2579,2579,7,1630
1751,1751,1847,1278
802,802,1040,2400
1449,1449,1457,2119
1923,1654,507,1923
155,1567,155,2728
1145,1268,1859,2174
2387,2387,113,2286
2728,1567,155,2728
2097,2097,2093,2547
2099,2099,998,1671
2098,163,1010,1321
2100,2100,2410,1038
2644,2644,689,2679
1617,1617,2532,672
2189,1444,2189,434
1759,1759,1746,2487
141,141,2612,774
352,352,1641,975
525,525,1551,547
1952,1952,1360,2576
496,504,1468,496
2138,2138,1160,809
2139,2139,335,1643
1355,1355,1299,109
1569,1569,2006,190
774,774,12,2612
2220,2129,2220,474
988,1028,988,1446
376,376,1335,267
1018,2629,530,1690
1675,1675,2408,378
130,967,981,75
2424,1262,2424,2497
769,1342,2207,489
225,313,1635,2524
1365,1750,257,638
411,1565,2165,411
880,880,656,233
670,163,1010,1321
719,836,2699,1930
1267,1267,84,674
1015,1015,2500,1905
328,328,1932,2476
1780,1255,1780,434
978,254,1693,978
1721,1721,731,2473
2260,2260,778,2649
2259,24,2654,2259
1181,1181,1664,739
1383,1383,329,1836
2033,1842,2033,1725
2556,2556,555,1936
232,232,173,716
555,2556,555,1936
746,746,1557,2169
1217,1518,1217,1367
1216,2517,1216,223
1215,1215,194,1861
1214,1214,949,1770
911,911,2446,794
1213,1028,988,1446
1634,1634,1014,920
14,2687,1975,200
1696,238,1998,1289
2367,1491,2394,2367
519,3,2324,519
1180,1180,506,640
1828,1750,257,638
154,154,1768,1112
1546,1627,1546,2419
63,164,78,63
1666,1666,1838,1471
2379,2379,2042,2282
1224,1224,2689,2507
763,763,1204,1033
2244,2244,1378,1508
495,1023,495,1133
1233,1750,257,638
1414,1414,84,674
83,83,1300,1644
1468,504,1468,496
727,474,727,1900
2548,1592,2548,619
1790,1790,1941,361
1003,1003,231,2065
1261,1261,1500,2482
2263,2263,775,404
819,2407,1167,819
2511,2511,2637,1990
346,346,187,732
2095,2095,1063,206
442,442,1573,115
692,1049,692,1719
990,990,152,2429
1016,1016,632,2692
1313,1313,2696,31
2432,2432,1267,713
510,510,2689,2507
462,163,1010,1321
1906,1906,1313,2611
1905,1905,2500,815
2700,2700,480,875
2436,2436,305,745
294,294,575,2423
1764,1764,184,1498
450,994,417,2347
2156,2156,1719,2382
842,842,2494,212
2273,2273,2513,829
2272,2272,1602,1486
1899,1899,749,1732
1728,1728,1210,107
517,517,2599,1481
1255,1255,1780,434
1395,1395,2361,2596
2639,2639,407,2501
267,267,2141,2289
1206,1206,2239,1231
1448,1448,676,1023
642,642,1549,1499
434,1255,1780,434
2353,2353,908,501
2712,2712,1293,340
196,196,1511,714
2056,2056,33,1138
2227,163,1010,1321
2068,2068,2421,1447
1874,1750,257,638
705,705,2627,823
106,1200,2357,2625
1354,1354,2573,952
1794,163,1010,1321
1183,1183,2137,554
1927,1141,1927,2413
1926,2684,1926,1977
1925,1367,1391,1925
602,602,1645,1766
1689,1268,1859,2174
1688,1688,1792,1730
1690,2629,530,1690
1687,163,1010,1321
234,1354,2573,952
1212,1212,297,1604
400,2215,400,1089
2225,2225,1531,252
402,402,316,829
2698,2698,1111,2189
1850,2237,1914,916
1861,1861,2210,1215
401,580,401,2729
742,1345,1012,20
1860,1860,905,1652
533,74,533,1904
1886,1886,2362,2136
707,707,95,1626
1887,2399,1887,1002
2702,163,1010,1321
528,55,528,1608
695,695,608,2664
1109,2147,1109,2698
936,936,1626,266
2119,2119,1968,2641
2118,2118,1751,1178
1776,1776,1847,975
2448,2325,2448,910
2073,2073,900,301
85,85,31,1313
2638,2638,1090,1186
532,532,351,1955
527,527,2327,383
1922,1922,2659,322
1412,163,1010,1321
344,344,753,379
1576,1576,425,2620
1159,163,1010,1321
2451,268,2451,2289
2450,2450,2186,1658
2449,2449,1104,1339
2597,1592,2548,619
2721,1996,1809,213
2122,1568,2122,1736
2237,2237,1914,916
1161,1161,2054,611
2236,163,1010,1321
2235,2235,1628,1403
2606,2606,1347,262
694,694,750,1021
1499,1499,327,1662
643,643,1080,1240
93,688,93,1935
758,758,2692,363
1239,1239,1983,48
273,273,2578,943
917,917,1130,1207
171,171,2159,108
752,752,2385,1089
542,542,2393,1942
1281,1281,1831,891
940,940,272,1240
839,839,1084,1801
330,330,2583,2608
1072,1072,587,1682
2539,2539,946,1265
497,316,497,2658
94,94,2545,1795
706,123,706,537
299,299,193,2393
2087,2087,2015,598
1168,1342,2207,489
1960,469,1960,1421
2149,492,1321,2144
75,967,981,75
2063,2063,2211,1995
1011,1011,2308,1053
904,904,2157,1437
1606,1606,975,1591
1278,1278,1847,1751
1197,1197,481,1470
1409,1409,2542,618
1277,1277,1792,1688
834,834,1521,2079
1223,1223,1881,653
1539,1539,1482,1984
646,1986,646,2636
1430,1430,782,714
121,121,1274,1943
902,902,1639,2646
145,145,2686,15
424,424,1543,805
2555,492,1321,2144
1452,1452,2197,1706
2668,2308,1053,2668
2730,2730,1302,1317
2667,2667,1087,1243
2732,144,2732,290
283,1945,283,2053
2731,2731,1922,1080
1578,8,1578,2440
4,4,2000,2054
558,994,417,2347
557,557,136,2629
1871,1871,700,306
1085,1373,1085,1570
20,1345,1012,20
2534,2534,1041,758
2221,2221,1116,734
1435,1435,533,61
2154,2154,1064,1231
1436,1436,2527,839
585,585,2197,15
1437,1437,2012,2590
1438,163,1010,1321
374,374,30,787
2568,2568,340,2168
2576,2576,2240,1316
2157,2157,554,2464
266,199,266,452
303,985,303,1400
304,304,1517,712
306,306,700,1778
577,577,1152,1117
305,305,171,2299
983,983,758,1122
1711,2662,2117,1711
984,2263,775,404
2463,2463,2509,1967
2481,2481,371,960
134,134,909,158
133,133,827,2430
137,137,2230,39
138,138,1550,1962
1387,850,1387,2601
2264,2264,52,1359
135,135,2656,2323
1788,1788,1261,906
136,2629,530,1690
761,933,761,2618
509,509,934,2454
737,737,1630,429
1627,1627,1546,2419
312,112,2089,312
1824,1824,1865,1352
2321,943,1413,2321
1681,1681,2569,2688
2460,2208,2460,1198
1538,1538,647,1855
518,518,25,2387
2006,2006,1569,1041
1700,1576,425,2620
1631,1631,1199,1276
1665,163,1010,1321
1924,1924,354,779
2124,2124,2729,779
122,2517,1216,223
84,84,674,2060
236,236,1244,2141
624,764,624,74
591,591,1650,691
768,768,2670,1258
1802,1802,2612,935
55,55,528,1608
973,973,2532,672
2145,2145,1132,2559
2210,1861,2210,1215
56,56,1176,1888
1718,1718,354,537
962,1268,1859,2174
1614,2083,28,2354
114,114,2660,2224
339,339,1731,1602
1097,1097,1758,189
703,313,1635,2524
556,556,2525,1605
1655,2398,2647,1683
2617,2617,2651,644
300,300,1305,195
1458,1458,2005,657
930,930,1475,1929
2345,2345,1455,192
2248,1993,2248,340
1162,943,1413,2321
502,502,2633,2062
700,700,2692,1871
541,541,347,912
257,1750,257,638
2355,2355,2511,153
2004,163,1010,1321
2005,2005,608,279
1946,1946,1019,2130
2077,2077,1889,437
711,711,447,221
1947,1947,1121,1288
91,2649,91,645
458,458,2568,1218
429,429,781,2020
428,428,49,239
2585,2585,857,1493
2008,2008,662,2022
2285,2285,758,1543
22,22,899,1179
23,163,1010,1321
21,1628,21,1403
1779,163,1010,1321
1226,2715,1226,2117
1227,1227,1480,486
1225,1225,635,781
1781,1781,864,966
2629,2629,530,1690
718,718,1291,1349
416,416,244,1317
277,277,37,2594
1138,1138,1056,1476
33,33,214,726
1316,1316,656,2576
560,560,2265,1711
553,553,2488,1921
2723,2723,2544,2112
1044,1044,1893,586
2722,2722,1203,2472
2724,2724,2523,1569
1413,943,1413,2321
987,987,1710,71
1556,57,845,1556
2428,2428,2169,1557
1605,1605,964,556
5,5,340,1366
2170,2170,1104,1950
2169,2169,1667,247
2071,2071,1188,1732
875,875,2577,467
1535,58,1963,637
745,745,775,984
1392,698,1392,403
2002,2002,2442,275
2001,2001,2521,2000
2003,492,1321,2144
1019,1019,1625,1797
814,814,1103,1191
882,882,2665,2360
1878,1878,568,582
1040,3,2324,519
1039,1039,522,2443
534,534,1423,2214
773,773,2217,1765
922,922,2301,611
1071,1071,791,669
772,163,1010,1321
771,771,140,2467
622,622,1226,608
1220,1220,1680,740
2501,2639,407,2501
803,803,979,1344
1031,1031,1353,1809
800,800,1333,1284
1103,1103,814,770
647,647,884,945
1455,1455,1076,2391
406,406,2425,994
2266,2266,409,191
1511,1511,355,196
481,481,1197,430
1841,1841,1444,2189
2677,2677,434,872
1327,1460,1327,908
1328,298,1821,2703
2059,2059,310,2601
2024,1750,257,638
2025,2025,1261,134
767,767,323,1106
483,483,2624,1251
2023,2023,563,2035
220,220,1870,1118
177,177,1167,728
2043,2043,2238,828
465,465,1400,79
1750,1750,257,638
176,665,176,2403
1801,1801,839,1892
2445,2445,630,1780
1737,1737,1171,1153
2642,2642,2232,1846
2561,2561,175,19
2562,163,1010,1321
2563,2563,2158,1606
644,644,2279,429
2184,965,2184,1405
2483,2483,1989,1938
2183,163,1010,1321
2182,337,149,2182
2181,2181,1789,168
2180,2180,1548,867
1001,1568,2122,1736
1002,2399,1887,1002
1810,1810,2116,513
1315,157,1315,2120
1218,1218,1076,1582
1693,254,1693,978
1692,1592,2548,619
2240,2240,1761,98
1423,1423,282,2263
2420,2420,603,2431
1441,1441,672,2532
2621,454,1303,2621
31,85,31,1313
82,2204,82,125
2223,2223,801,304
2161,2161,2580,856
1243,1243,2605,1087
732,732,2580,386
2246,2246,2102,2027
2377,2377,461,1064
351,351,1793,1626
2543,2543,944,385
566,566,366,2521
1284,800,1333,1284
655,605,2074,655
1427,1342,2207,489
2591,2591,1184,261
361,1790,1941,361
1053,2308,1053,2668
150,163,1010,1321
2359,492,1321,2144
1708,1708,1843,2307
2681,2681,1815,1010
77,77,1022,655
1888,1888,56,1710
1467,1467,390,2326
2558,2558,2007,707
1957,478,1957,2478
2633,502,2633,2062
889,889,273,2316
739,1664,739,1181
757,757,2256,1583
2069,2069,2324,2400
1369,1369,1329,1897
30,30,2521,614
363,363,758,108
1929,1929,1475,1698
1497,1497,1232,2436
1046,1046,608,2542
336,336,1521,834
2222,2222,156,1756
1736,1568,2122,1736
298,298,1821,2703
484,484,1372,1924
2168,2168,2568,1970
308,308,2669,1662
693,693,2270,198
284,284,1479,1493
1410,1410,1429,166
472,472,143,426
95,95,2193,707
1501,1501,907,1102
1743,1743,1024,10
2689,1224,2689,2507
2166,2166,1430,782
2662,2662,2117,1711
474,474,727,1900
96,915,1825,96
1236,1236,2632,1244
1440,1440,1856,657
471,471,370,704
470,540,1325,675
391,391,1135,1465
76,76,1037,1539
97,97,362,1553
1305,1305,195,1138
2047,2047,2682,2085
34,34,1721,2473
473,492,1321,2144
1078,1078,2185,1411
1263,1263,497,316
1170,1170,1324,680
40,1256,40,0
945,945,884,2278
1177,1177,1285,2243
1290,2727,2030,1259
108,108,497,316
999,999,830,2006
2123,2123,562,2065
1065,1065,86,18
329,329,2184,1764
383,383,527,1664
1080,1080,146,1723
2431,2431,1547,2290
2654,24,2654,2259
2031,488,2031,1027
1294,1294,622,2715
1295,1295,2251,1187
1296,1296,841,1772
1297,1297,68,1774
1293,1293,839,2712
1679,1679,499,909
1680,1680,1512,1220
817,817,1656,1980
1551,525,1551,547
2683,2683,1735,108
233,233,1550,880
8,8,1578,2440
998,2099,998,1671
539,337,149,2182
1375,1375,1113,2413
877,877,1151,464
766,766,2055,1917
2636,2636,976,2105
2637,2637,2511,998
663,663,1879,1140
870,870,1586,1194
836,836,2699,1930
1199,1631,1199,1276
1140,1140,1341,663
938,938,1812,2510
2336,2336,2014,1908
995,995,2259,24
969,2083,28,2354
1155,1155,1561,432
2315,780,939,2315
1893,1044,1893,586
2253,2253,2265,194
629,629,1957,478
754,754,1651,1319
599,599,1937,921
600,600,2226,2346
753,753,765,379
993,993,2590,90
974,974,315,1516
820,2041,820,738
2401,492,1321,2144
645,2645,104,645
1169,1169,409,1741
751,751,403,1818
1366,1366,1820,1306
1211,1211,2488,2060
1694,1694,1882,1318
125,2204,82,125
126,126,2272,2640
1653,2517,1216,223
1647,1647,2351,1003
157,157,1315,2120
1618,1618,1393,2113
2030,2727,2030,1259
1981,1397,1981,2179
1602,1602,339,2640
2624,2624,1251,597
1209,1209,944,2657
256,256,655,2074
2602,2602,1027,460
268,268,2451,2289
280,280,961,597
2062,2062,1350,1816
2066,2066,573,1990
2625,1200,2357,2625
2676,313,1635,2524
101,101,165,1821
99,498,99,1855
1892,1892,108,301
1903,238,1998,1289
1891,1891,1434,1068
1882,1882,2701,1694
1914,2237,1914,916
1915,492,1321,2144
12,12,247,1287
1829,1534,1829,2091
1807,1807,1974,176
25,25,2355,417
26,26,2678,137
36,36,1235,2263
1785,2684,1926,1977
1782,1782,43,1987
69,69,397,106
1749,1749,863,2237
1962,1962,138,2019
1966,1966,1283,1620
1734,1734,978,1581
1534,1534,1829,2091
2076,2076,1920,1036
1580,1580,833,1160
2084,2084,2692,1191
2538,2726,2538,322
420,420,1123,2191
1389,786,1389,962
440,440,2538,2726
2512,2512,350,943
1339,1339,2449,1088
506,506,2209,2097
2491,2491,410,850
515,515,2486,12
2192,2192,1908,113
1291,1291,2022,662
1285,1285,2243,2626
2207,1342,2207,489
1280,1280,1579,868
2471,2564,2471,1118
2541,2541,4,2059
2126,2126,866,853
426,426,472,143
345,8,1578,2440
1509,1509,338,158
2574,408,2134,2574
317,317,1808,324
2570,2570,161,686
2094,2094,314,2352
319,868,1276,1762
335,335,2139,1196
337,337,149,2182
2550,2039,1371,2550
2112,1576,425,2620
915,915,1825,96
1433,313,1635,2524
2725,2725,2478,1526
1786,1786,1444,2189
2337,2337,2567,283
2362,2362,106,2625
504,504,1468,496
224,492,1321,2144
1404,163,1010,1321
623,623,961,1134
1393,1393,1618,2084
1999,1999,160,315
1361,163,1010,1321
1422,2397,1422,279
1703,1703,2045,2463
1336,1336,1081,2279
1746,1746,2188,788
779,779,246,430
2270,693,2270,198
19,19,926,1187
2582,2582,1554,204
759,759,1967,272
1902,2083,28,2354
110,110,1082,598
584,1268,1859,2174
583,1750,257,638
569,492,1321,2144
109,1355,1299,109
2622,2622,13,620
18,2334,18,748
2598,1450,2598,1858
2694,2694,888,186
198,198,1495,1305
650,650,219,258
799,799,1626,266
1900,474,727,1900
1259,2727,2030,1259
2034,163,1010,1321
1584,757,2256,1583
2150,2150,2549,412
1813,1813,1761,2240
1583,757,2256,1583
2151,2151,588,1450
972,58,1963,637
2028,2028,414,2557
1998,238,1998,1289
1997,1997,612,1867
621,446,621,1877
608,608,1626,226
1353,1996,1809,213
409,409,2266,191
1685,492,1321,2144
1240,1240,2018,2268
188,1042,1208,1633
787,787,614,548
1525,1525,947,1311
2455,2455,1951,2621
2241,2241,2441,2085
206,1063,206,2367
2521,2521,30,566
287,287,2500,232
2522,2522,2569,1539
453,453,2010,2558
2057,2057,251,2054
2058,2058,1026,2372
2011,163,1010,1321
545,545,1766,2169
971,971,2284,1354
667,667,354,940
804,804,62,1362
1334,1334,1593,971
1908,1908,144,2732
2295,2295,332,1133
2140,2140,2682,2047
2141,2141,1640,788
2142,2142,810,1379
365,1976,2038,699
507,1654,507,1923
970,970,2685,509
2418,2418,672,187
1184,1184,2595,452
2542,2542,722,1385
1873,1976,2038,699
1322,1150,1322,696
1150,1150,1322,696
1588,1588,2259,24
264,264,1084,424
2713,1877,2713,2608
1201,1201,1439,1104
1724,1724,1457,1449
1725,1842,2033,1725
1723,535,1723,909
2306,1576,425,2620
2425,406,2425,994
1045,1045,701,1601
71,71,1710,151
1757,1757,2524,313
258,258,219,650
1979,1979,1005,414
1642,1642,1486,2251
311,311,1141,2107
701,1045,701,1601
2402,318,2402,828
1266,2727,2030,1259
174,249,174,1225
2117,2662,2117,1711
2177,2177,1999,1327
1740,1740,174,249
2291,2291,1088,75
1063,1063,206,2367
1974,665,176,2403
1975,2687,1975,200
1976,1976,2038,699
1977,2684,1926,1977
1376,1376,1967,2404
1024,1024,2664,27
316,316,497,2658
2309,2309,1928,642
1012,1345,1012,20
1013,1013,1864,1500
1505,1505,1070,1267
2545,2545,2232,1954
1669,1669,2209,1084
1358,1358,2381,701
1332,1976,2038,699
932,932,204,2362
2195,2195,2705,592
1496,1496,1503,2522
912,912,1189,1773
1524,1592,2548,619
1904,1904,1478,1344
1561,1561,190,1492
892,892,2067,119
309,1838,309,1964
593,593,1384,1127
217,217,370,704
1480,1342,2207,489
795,795,1752,389
1722,1722,500,2073
1744,337,149,2182
2709,2709,1516,2238
1928,1928,2309,1549
872,872,2677,2577
873,2398,2647,1683
2340,2340,329,2130
1978,1978,114,2158
879,2412,879,334
925,44,925,742
1356,1356,1519,1558
1847,1751,1847,1278
1344,1344,1904,803
2193,2193,95,608
2599,2599,2474,614
2727,2727,2030,1259
1545,1545,2447,2698
1287,1287,12,1867
422,422,1490,2528
1982,1982,1862,965
359,359,1683,873
688,688,93,1935
1450,1450,2598,1858
2040,2040,2018,1240
1107,1107,877,1151
596,596,2602,1961
331,2310,2485,331
2417,2417,2474,1479
1082,110,1082,598
1025,1025,540,675
2298,2298,1099,2676
191,191,529,2609
1640,788,1640,1069
367,367,2660,1952
1061,1061,488,2031
1029,1029,1824,458
1991,1654,507,1923
2466,2466,2101,1094
1481,2490,1481,2474
1857,1857,2142,1608
2136,2136,1030,1388
1333,800,1333,1284
1428,1428,601,1925
1570,943,1413,2321
371,371,380,1229
1121,1121,1288,342
1120,1120,523,1357
1123,1252,2191,1123
1122,1122,758,1198
2423,2423,575,294
1469,1469,1417,151
112,112,2089,312
2214,2214,534,1917
1167,2407,1167,819
2479,2479,2540,172
2078,2078,1880,1846
2080,2080,1211,1261
2079,2079,297,2168
1695,1695,1608,2120
1221,1221,731,878
1397,1397,1981,2179
652,652,2344,187
868,868,1276,1762
1398,1398,921,2118
2715,2715,1226,2117
2714,2714,1839,10
724,724,202,2132
436,436,1258,1735
1235,1235,2724,321
684,684,102,1932
960,960,2316,1377
685,2602,1027,460
1411,1411,465,2326
1143,1143,2202,1171
784,784,796,2383
1142,1142,2412,334
785,1033,785,928
909,535,1723,909
1530,1530,656,1813
908,908,1460,2353
1795,1795,2332,1728
1935,688,93,1935
1531,1531,222,2225
1532,1028,988,1446
1533,1533,2442,1368
1656,1656,817,208
1846,1846,809,2642
2581,163,1010,1321
152,152,990,146
1582,1582,2513,1076
1803,1803,1444,2189
1804,1804,1680,1933
588,588,547,1424
526,526,1309,1063
1589,1589,523,2448
1154,1833,482,1154
1152,577,1152,1117
1683,2398,2647,1683
1153,1153,1254,1818
1624,1342,2207,489
606,163,1010,1321
2720,2720,146,2040
229,229,1081,1899
239,239,2299,856
240,240,2709,888
241,915,1825,96
243,688,93,1935
238,238,1998,1289
242,242,834,340
2647,2398,2647,1683
985,985,303,1400
1500,1500,56,2289
1490,2528,1490,867
209,209,2387,113
2339,1133,2339,332
2413,1375,1113,2413
1352,2364,1352,481
630,630,2716,2445
2390,2390,798,959
1271,1271,1306,822
2564,2564,2471,1118
843,1790,1941,361
2104,1079,2104,737
2409,2409,1283,316
1185,1185,808,111
2611,2611,1030,1755
148,490,148,320
2202,1143,2202,1171
1425,1425,790,1562
86,86,991,2526
2484,2484,399,2556
1784,1784,1951,495
340,340,2568,2712
1231,1231,2154,1206
147,147,307,2595
918,918,1887,2016
816,816,658,2454
2461,915,1825,96
1219,1219,741,1165
979,979,1569,803
1114,1114,1053,2668
2704,163,1010,1321
653,653,521,548
2044,2044,1326,1376
2316,960,2316,1377
375,375,1628,1403
641,641,2497,1645
2468,2468,1059,2657
1451,1451,993,643
2234,2234,333,309
1820,1820,1247,2168
2185,2185,2557,521
1590,1590,511,421
1000,490,148,320
333,333,279,2005
2186,2186,2450,666
2505,2505,868,1276
1062,1062,2431,10
2187,2187,924,2373
2500,2500,1015,287
2499,2499,2108,2052
2497,2497,2498,2482
883,883,2168,2015
2498,2498,2482,2494
1867,1997,612,1867
864,864,1786,1459
823,823,620,2546
2397,2397,1422,279
543,543,293,2057
1761,2240,1761,98
1762,868,1276,1762
1763,1950,1763,470
131,131,2279,1822
1400,1400,2142,465
1591,1591,783,2714
1431,867,1431,2059
1432,1432,2682,2047
1027,2602,1027,460
716,716,1454,392
2344,2344,347,2696
1301,313,1635,2524
2055,766,2055,1917
427,427,2604,2650
2559,2559,2120,1132
27,27,2595,1024
1300,83,1300,1644
342,342,1288,1121
1735,1735,436,108
1789,2181,1789,168
965,965,2184,1405
2194,2194,2096,1787
927,927,528,55
1286,1286,718,974
2061,2061,811,1232
2663,2663,1117,2558
2039,2039,1371,2550
682,671,682,1937
2645,2645,104,645
1783,1157,1783,986
2314,2314,390,2292
2672,2672,1504,678
821,821,1463,1638
2261,2261,1202,1466
