target,1rank,2rank,3rank
2527,2527,1436,1348
1595,1595,1242,1450
1165,1219,741,1165
418,418,974,1516
2536,2536,2415,2659
1298,1298,205,229
1299,1355,1299,109
2200,163,1010,1321
2198,163,1010,1321
2199,2199,1574,595
1972,1972,2067,548
2605,2605,1243,1490
1241,1241,2287,2045
1326,1326,2044,807
2630,2630,452,266
212,212,2494,752
1520,1520,2050,1080
1521,1521,834,336
1522,1522,2132,326
1021,1021,2504,2362
2391,2391,301,1582
2081,2081,1863,1321
279,279,2005,333
1577,2416,1577,444
1528,1528,561,2070
2046,2046,1393,986
278,238,1998,1289
54,54,762,546
2036,966,2036,1781
1245,1245,388,2554
48,48,1423,325
62,62,564,2728
2546,2546,357,1525
13,13,1486,1865
1552,1552,84,674
1553,362,1553,886
1256,1256,40,0
1712,2060,1712,2160
2610,2610,734,1417
679,1976,2038,699
2502,2502,2712,2568
2228,2228,2329,2026
2503,2503,1407,2103
2330,1044,1893,586
552,552,613,610
2616,163,1010,1321
2327,2327,527,1311
271,271,1933,1107
2328,2553,2328,1249
2329,2329,99,2228
659,659,281,1949
859,531,859,61
2596,2596,2361,2648
254,254,1693,978
2549,2549,412,1387
1483,1044,1893,586
748,748,1217,1518
1470,1470,896,1731
1260,1101,1260,2226
199,199,266,452
2386,2386,2301,931
878,878,2307,1274
1660,1729,1660,2368
92,92,1111,2698
2134,408,2134,2574
1127,1127,1384,1136
1128,1128,82,1473
1129,1129,1892,108
1130,1130,1546,1533
1191,1191,2084,595
68,68,1297,923
230,1042,1208,1633
111,740,111,808
1364,1364,865,2688
214,214,1270,33
1817,1817,444,103
439,439,818,384
2462,2462,1009,1539
2130,2130,365,699
2456,289,2456,1345
2242,1473,2242,2190
100,100,2716,625
169,169,668,803
2594,2594,2540,1826
2027,2027,338,1723
847,847,1504,2086
270,163,1010,1321
73,73,1161,1255
561,561,1736,770
269,915,1825,96
2600,730,2600,1036
1471,1838,309,1964
297,297,1212,2079
296,2433,1987,296
1320,1320,1869,1456
1917,1917,2055,766
32,2369,2153,32
295,295,1609,1475
1862,965,2184,1405
1069,1069,1133,788
2287,2287,1241,1487
1148,1148,219,258
2475,2475,384,2657
2474,2474,355,1711
2477,2477,864,2462
2473,2473,1721,1274
184,1764,184,1498
2472,1672,2472,2523
2476,2476,1409,653
2696,2696,1353,213
2490,2490,1481,2474
218,218,2238,315
1026,2058,1026,2372
1768,1768,154,2084
1877,1877,2713,2608
636,636,93,1935
370,370,217,471
914,163,1010,1321
6,6,980,966
913,913,1637,1968
1205,1205,2124,1352
1805,1134,1805,1112
1994,1994,493,158
1200,1200,2357,2625
1959,1959,1126,1529
2697,1600,2697,1941
1772,1772,841,1587
1604,1604,218,1212
2203,2203,2624,2277
2206,79,2206,465
900,900,781,2231
1934,1934,1797,575
2438,2438,1544,418
1144,1144,76,1044
1274,1274,2378,714
1052,1052,2053,2699
2110,1473,2242,2190
2361,2596,2361,2648
161,161,2570,1664
1747,1747,467,608
860,860,2604,161
2478,2478,478,1957
1710,1710,1888,71
1601,1045,701,1601
1504,1504,2672,847
1492,1492,178,1561
736,736,2560,1205
876,876,2372,1026
1030,2136,1030,1388
578,2258,578,2707
2376,2376,968,881
840,840,2387,113
696,696,1150,278
2294,2294,957,2432
698,698,1392,403
1186,250,1186,1464
1187,1187,774,19
567,567,205,1336
1022,1022,77,210
1303,454,1303,2621
2152,2152,192,1717
2146,2146,1020,1186
2148,2148,2636,2655
2147,2147,1109,2698
697,697,629,478
1592,1592,2548,619
226,226,467,613
1464,250,1186,1464
1453,1453,2363,11
1132,1132,1843,2630
2705,2195,2705,592
1996,1996,1809,213
1112,1134,1805,1112
194,194,480,927
2070,2070,60,1275
856,856,2299,239
210,210,714,527
2318,2318,1618,1135
2609,2609,1023,495
2279,2279,781,815
1628,1628,21,1403
1081,1081,635,1393
2589,2687,1975,200
318,318,2402,828
1064,1064,2377,461
1158,2426,1158,401
195,1305,195,1138
2365,2365,2058,1026
2364,2364,1352,481
2366,1473,2242,2190
261,261,2595,105
782,782,1430,714
986,986,853,1783
2114,2114,235,976
1856,1856,1440,163
1840,1840,2075,900
1958,1958,2513,2583
997,997,2709,722
2381,1045,701,1601
187,187,2418,2184
2383,2072,2383,372
2382,2382,1293,16
713,713,2514,1766
1815,2681,1815,1010
1937,1937,1851,2435
276,276,259,174
334,2412,879,334
2300,2300,2453,2466
1816,1816,2062,2180
1773,1773,912,2231
2319,2319,2459,1222
1771,2399,1887,1002
968,968,2376,1707
2509,2509,1135,1087
2155,2155,1450,2598
550,1342,2207,489
2265,2265,194,560
756,163,1010,1321
1851,1851,1273,871
1883,571,388,1230
2216,2216,135,1322
1288,1121,1288,342
70,70,938,2159
2218,2218,1035,590
943,943,1413,2321
1921,1921,1920,2503
2230,137,2230,39
1244,1244,1236,617
2442,1533,2442,1368
1916,1916,2641,913
648,163,1010,1321
28,2083,28,2354
1232,1232,1497,726
1292,1292,475,1607
613,613,552,2213
2307,2307,878,1938
1811,1811,72,378
572,572,2723,1312
1207,1207,917,2671
614,614,2117,2662
2465,2465,1637,913
615,615,536,840
2710,2710,1142,1546
2320,2320,2601,106
1930,836,2699,1930
1869,1869,1597,1320
2717,2717,131,205
2703,298,1821,2703
673,1836,673,2366
1910,1910,1866,216
2326,2326,1411,1513
680,680,1170,384
2191,1252,2191,1123
837,934,441,1670
2341,1354,2573,952
396,163,1010,1321
2620,1576,425,2620
399,399,1469,1323
2262,2262,195,2050
1672,1672,2472,2523
1479,1479,284,1493
2394,1491,2394,2367
2628,2628,2656,45
780,780,939,2315
213,1996,1809,213
749,749,1899,1732
1466,1466,2261,1934
1146,1146,1074,1391
2288,2288,790,537
1701,1701,2048,1308
740,740,111,808
2403,665,176,2403
189,466,1758,189
423,423,2512,1933
452,2630,452,266
1048,1048,1984,1673
2535,1034,1823,2535
2569,2569,1319,2644
1070,1070,1505,356
1242,1242,2151,760
302,2629,530,1690
1587,1587,1314,1772
2045,2045,2493,1703
2560,2560,736,2050
1615,2160,1615,1176
244,244,416,316
2060,2060,1712,2160
1633,1042,1208,1633
1096,163,1010,1321
798,2390,798,959
792,792,252,1016
2544,1576,425,2620
372,2072,2383,372
857,857,467,2585
1529,1529,1959,1126
1557,1557,2138,1160
2305,2305,2328,1249
1707,1707,1995,968
456,2727,2030,1259
714,714,1430,2378
1769,1769,1951,853
906,906,611,1536
907,907,541,815
514,514,170,1203
2159,2159,171,70
1171,1143,2202,1171
1342,1342,2207,489
124,163,1010,1321
2678,26,2678,137
704,704,2232,2332
1331,1750,257,638
530,2629,530,1690
1787,1787,2219,2194
699,1976,2038,699
2346,2346,1550,2226
920,920,1833,2045
1004,1004,2254,2101
2167,2167,700,1263
1419,1419,1873,2038
717,238,1998,1289
2659,2659,2711,2442
459,459,561,2122
461,461,1125,1248
2289,2289,1732,1594
173,173,1621,1317
172,172,787,974
167,1996,1809,213
165,298,1821,2703
2646,2646,902,1639
901,901,258,219
891,891,828,1074
159,159,2293,620
1733,1342,2207,489
833,833,1954,1580
149,337,149,2182
1388,1388,1777,876
1384,1384,1127,593
1156,934,441,1670
1028,1028,988,1446
2135,2135,2557,594
1968,2119,1968,2641
1088,1088,1581,1693
2137,2137,316,1870
364,2083,28,2354
468,468,618,2015
2635,2086,2635,847
1854,1854,1971,1019
689,689,2644,2545
2278,2278,831,1569
348,348,2551,2365
10,10,613,610
671,671,682,1937
2410,2410,1585,1340
2041,2041,820,738
609,609,1077,2297
1488,1488,2478,534
52,52,1931,233
2096,2096,181,153
1338,1338,2042,2541
887,887,286,367
393,393,2085,2047
2533,2533,901,813
2311,2311,903,2660
994,994,417,2347
2075,2075,1840,781
2083,2083,28,2354
392,392,1698,2686
2486,515,2486,12
382,382,2360,1204
