target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
1579,1579,1280,2037,2654,2259,141,1603,24,484
2604,2604,427,860,588,546,2065,585,1613,161
2603,1750,257,638,1828,2,47,1233,583,846
216,216,2680,1910,1784,529,2273,2513,1555,656
1911,1911,500,692,1049,2111,2320,2253,2491,2265
649,649,1642,2251,1486,1295,1823,753,820,765
1745,2325,2448,910,2406,1686,1745,1266,584,1304
1954,1954,2545,833,2232,1580,2642,2159,704,244
2658,2658,316,1870,497,1189,1773,108,554,2409
78,164,78,63,1942,2049,212,1376,1963,58
79,79,2206,465,985,303,2101,37,277,1004
415,415,625,2327,2290,207,527,1747,1311,1093
1163,1163,2670,321,716,2273,1258,2686,623,1805
2525,2525,235,1619,556,2682,1891,2047,1212,1218
2209,2209,506,1669,1129,1622,2261,1498,1218,1791
80,80,1837,264,16,481,1559,7,625,527
235,235,2525,529,1218,964,2114,2096,2266,2109
2592,238,1998,1289,1696,2592,2674,717,581,1903
2593,2175,2593,1628,1863,802,380,371,1403,1037
1713,1713,2275,953,274,1607,1772,639,2671,256
1043,576,127,1043,271,423,137,2230,2247,2481
223,2517,1216,223,122,1653,2280,99,1849,498
604,604,2641,129,2208,2571,1968,1084,194,1568
829,829,2547,402,2093,2513,363,1191,259,497
830,830,999,384,1381,2613,2367,2306,2112,1491
831,2278,831,1569,1618,2657,1059,1135,2306,2112
573,1990,573,2066,2511,1768,280,1248,998,2412
476,476,483,421,2649,91,1423,1251,2624,1649
605,605,2074,655,82,2204,125,77,2669,256
1042,1042,1208,1633,2274,188,2322,2276,230,2730
207,207,1093,1311,2007,1747,415,2327,2608,2583
677,677,1959,1126,1057,451,1971,649,1854,720
1041,1041,2475,2510,2006,2696,632,1812,1016,2534
2369,2369,2153,32,789,1838,1515,624,764,750
996,163,1010,1321,2411,2493,571,408,1330,2375
1264,1367,1391,1925,1264,2402,2218,318,1146,2390
2226,2226,600,1360,2346,1101,1260,1350,283,1945
2660,2660,2311,1249,2328,2553,1909,570,367,114
2269,2269,400,1074,1351,919,2667,2215,713,1957
1635,313,1635,2524,703,1301,1433,394,2676,225
1084,1084,301,1455,839,1892,781,1566,363,1568
1510,163,1010,1321,2411,2493,571,408,1330,2375
158,493,158,1994,2495,724,1235,1135,1138,1509
2523,2724,2523,1569,2472,1135,1672,1235,190,632
1068,1068,1891,2640,1139,1067,893,1054,2355,1632
1698,1698,15,1929,392,1016,1609,295,632,876
1067,1067,796,1068,1808,1139,2640,1891,2076,357
1157,1157,1783,986,1434,715,500,1231,1125,853
1104,1104,1273,2170,403,1201,2449,1421,472,2083
2334,2334,18,748,2296,1193,1507,619,1065,1524
1756,1756,156,109,1355,2222,1196,1299,279,1784
2565,492,1321,2144,1915,2584,373,1896,954,951
726,726,2348,297,33,1212,1232,2079,2012,214
64,64,17,657,520,799,1184,2213,2591,183
66,29,66,962,2174,1859,485,1153,1254,505
538,538,710,732,748,2685,680,2580,120,1086
65,65,2293,435,1842,2033,1725,306,2375,2623
1373,1373,1085,1570,780,2644,1413,939,2430,2102
1083,1083,2068,2710,2225,2421,1447,252,432,1916
477,865,477,2688,1364,1865,1849,1986,1681,2106
2690,2690,1737,209,729,2722,565,2191,1123,636
