target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
2216,2216,135,1322,1150,1737,2323,1425,2656,94
1288,1121,1288,342,1448,1947,676,558,2347,337
70,70,938,2159,171,2510,1812,618,112,1160
2218,2218,1035,590,1515,283,2587,1945,2086,1391
943,943,1413,2321,2430,827,1570,1162,2679,624
1921,1921,1920,2503,19,2072,2116,955,372,1810
2230,137,2230,39,2247,602,21,1539,2615,1345
1244,1244,1236,617,236,2632,2646,956,1354,2284
2442,1533,2442,1368,275,2002,913,1478,998,1637
1916,1916,2641,913,1637,1050,1308,1968,2657,1059
648,163,1010,1321,2411,2493,571,408,1330,2375
28,2083,28,2354,1902,1614,2666,948,265,969
1232,1232,1497,726,214,1778,2302,2167,306,2159
1292,1292,475,1607,1207,177,1765,274,2106,1518
613,613,552,2213,10,226,1132,1806,307,2585
2307,2307,878,1938,1843,1708,414,1861,1979,2210
1811,1811,72,378,995,2303,2408,1675,2017,211
572,572,2723,1312,425,1816,285,945,1815,1414
1207,1207,917,2671,1292,1927,1141,726,1725,2033
614,614,2117,2662,1711,30,787,2599,621,157
2465,2465,1637,913,2504,2362,1698,222,2657,2197
615,615,536,840,518,195,1305,1703,1994,1710
2710,2710,1142,1546,2115,1083,2066,1627,2048,1688
2320,2320,2601,106,2357,1200,1055,2625,2113,2093
1930,836,2699,1930,1091,719,880,849,312,2089
1869,1869,1597,1320,1808,1456,1990,573,975,1249
2717,2717,131,205,1298,229,567,1899,1822,1337
2703,298,1821,2703,1328,165,1205,350,1981,101
673,1836,673,2366,2190,612,454,867,1667,1431
1910,1910,1866,216,2680,2040,1372,1474,45,2706
2326,2326,1411,1513,1078,2090,196,783,1541,1591
680,680,1170,384,1118,1324,1356,16,347,2137
2191,1252,2191,1123,2503,420,1250,1935,118,243
837,934,441,1670,837,2178,1156,692,1213,988
2341,1354,2573,952,2341,2016,956,234,2284,2171
396,163,1010,1321,2411,2493,571,408,1330,2375
2620,1576,425,2620,2306,2544,2112,1700,831,1615
399,399,1469,1323,1417,151,734,1251,555,1970
2262,2262,195,2050,2102,2246,1305,2056,43,1567
1672,1672,2472,2523,2724,1492,178,647,2167,1569
1479,1479,284,1493,1965,2417,2585,2474,1826,1318
2394,1491,2394,2367,2404,1063,206,2730,1302,1265
2628,2628,2656,45,1474,1645,135,557,2078,1845
780,780,939,2315,1975,1838,14,263,200,1471
213,1996,1809,213,2721,1353,167,1777,2696,1016
749,749,1899,1732,166,170,2136,2611,56,1755
1466,1466,2261,1934,575,2295,294,1202,1414,1797
1146,1146,1074,1391,1367,1925,510,1264,891,2362
2288,2288,790,537,337,539,2182,1638,149,1463
1701,1701,2048,1308,1130,1050,2710,975,837,1670
740,740,111,808,669,1185,1512,2634,170,1654
2403,665,176,2403,1974,2360,1527,382,378,1603
189,466,1758,189,2687,2589,759,134,14,200
423,423,2512,1933,350,1012,1345,742,20,1472
452,2630,452,266,1132,1806,1238,199,1547,2595
1048,1048,1984,1673,2187,991,2679,2530,1370,848
2535,1034,1823,2535,122,2329,1468,2492,2517,1216
2569,2569,1319,2644,2050,1681,1567,155,2522,2728
1070,1070,1505,356,1973,741,2618,1219,1165,631
1242,1242,2151,760,1595,588,203,1728,2598,2065
302,2629,530,1690,2506,702,136,1018,302,1876
1587,1587,1314,1772,841,1031,2502,31,85,81
2045,2045,2493,1703,920,1241,759,1487,1901,2196
2560,2560,736,2050,693,1681,2270,1872,1520,33
1615,2160,1615,1176,56,1569,1576,425,2306,1885
244,244,416,316,497,982,1183,2159,1621,1317
2060,2060,1712,2160,2501,1615,1176,2639,407,490
1633,1042,1208,1633,2274,188,2322,2276,230,2730
1096,163,1010,1321,2411,2493,571,408,1330,2375
798,2390,798,959,2013,2586,1167,2051,1704,143
792,792,252,1016,632,1344,1031,2724,2523,979
2544,1576,425,2620,2306,2544,2112,1700,831,1615
372,2072,2383,372,1921,2076,324,1123,1252,2191
857,857,467,2585,1430,1877,2713,1843,226,1493
1529,1529,1959,1126,2678,26,1971,542,821,426
1557,1557,2138,1160,673,1836,2062,982,938,809
2305,2305,2328,1249,2553,2158,1605,1320,2350,1139
1707,1707,1995,968,704,1010,2332,108,1735,1202
456,2727,2030,1259,1290,1194,1266,456,1565,28
714,714,1430,2378,1274,782,210,875,731,2437
1769,1769,1951,853,595,326,1784,2455,1544,986
906,906,611,1536,2301,1073,1337,1161,528,721
907,907,541,815,1501,2020,644,1317,1755,768
514,514,170,1203,1795,1208,1885,1633,2274,1307
2159,2159,171,70,497,316,1563,512,244,1183
1171,1143,2202,1171,1573,149,1818,442,1991,337
1342,1342,2207,489,1480,1648,2529,550,1427,1733
124,163,1010,1321,2411,2493,571,408,1330,2375
2678,26,2678,137,717,1289,39,2247,1903,1737
704,704,2232,2332,2642,217,2095,471,2268,2018
1331,1750,257,638,1828,2,47,1233,583,846
530,2629,530,1690,2506,702,136,1018,302,1876
1787,1787,2219,2194,406,2425,1947,2706,1108,2096
699,1976,2038,699,679,1873,365,1332,1963,1848
2346,2346,1550,2226,2571,938,640,233,1890,1405
920,920,1833,2045,1154,482,1658,1014,189,1758
1004,1004,2254,2101,79,2206,2466,1215,1458,927
2167,2167,700,1263,306,341,65,1672,2472,323
1419,1419,1873,2038,1976,1332,1329,365,699,1410
717,238,1998,1289,1696,2592,2674,717,581,1903
2659,2659,2711,2442,1533,884,1368,945,724,275
459,459,561,2122,1736,1568,770,2480,1481,1001
461,461,1125,1248,1349,2377,964,129,1076,2204
2289,2289,1732,1594,788,1640,490,320,1000,587
173,173,1621,1317,805,1543,1531,232,402,1620
172,172,787,974,2447,1516,315,548,121,614
167,1996,1809,213,2721,1353,167,1777,2696,1016
165,298,1821,2703,1328,165,1205,350,1981,101
2646,2646,902,1639,617,1619,2389,2439,377,1830
901,901,258,219,405,1011,1738,1148,1179,260
891,891,828,1074,1709,1982,1623,957,2043,1281
159,159,2293,620,435,1820,1306,1641,2311,1258
1733,1342,2207,489,1480,1648,2529,550,1427,1733
833,833,1954,1580,2545,749,808,1370,111,740
149,337,149,2182,539,1638,1744,1463,702,821
1388,1388,1777,876,259,2372,213,2721,174,2365
1384,1384,1127,593,651,2022,662,2075,1081,1225
1156,934,441,1670,837,2178,1156,692,1213,988
1028,1028,988,1446,1213,1948,1532,658,1909,570
2135,2135,2557,594,2189,985,303,1444,1881,686
1968,2119,1968,2641,1637,913,747,700,635,2692
1088,1088,1581,1693,254,978,1339,2449,2164,1421
2137,2137,316,1870,497,1892,1324,640,1183,1118
364,2083,28,2354,1902,1614,2666,948,265,969
468,468,618,2015,2197,49,2087,98,2576,1551
2635,2086,2635,847,2218,2369,265,969,948,2153
1854,1854,1971,1019,1914,2237,2023,916,1850,1673
689,689,2644,2545,1415,2095,123,706,2633,2729
2278,2278,831,1569,1618,2657,1059,1135,2306,2112
348,348,2551,2365,2699,836,1930,1091,719,1026
10,10,613,610,552,2213,2437,783,1062,369
671,671,682,1937,1227,163,1851,1104,1907,545
2410,2410,1585,1340,2100,2286,840,2508,1775,2543
2041,2041,820,738,733,1642,1534,1829,599,1394
609,609,1077,2297,893,2541,1339,2588,1759,986
1488,1488,2478,534,823,2421,2225,1357,796,2670
52,52,1931,233,2460,2571,1890,2208,2608,1359
2096,2096,181,153,2194,1901,1498,1218,2196,1852
1338,1338,2042,2541,347,1864,2006,1944,1554,660
887,887,286,367,395,1263,1801,1164,1699,1537
393,393,2085,2047,2682,2241,1346,794,745,218
2533,2533,901,813,1172,607,1257,2453,1724,1694
2311,2311,903,2660,1452,435,1390,2293,159,2015
994,994,417,2347,1830,558,450,1121,153,25
2075,2075,1840,781,737,709,662,1084,2022,192
2083,2083,28,2354,1902,1614,2666,948,265,969
392,392,1698,2686,1569,15,1929,190,145,632
2486,515,2486,12,935,247,1409,618,1512,128
382,382,2360,1204,148,292,1897,320,1000,490
702,2629,530,1690,2506,702,136,1018,302,1876
1460,1460,1327,908,2714,659,2594,2353,892,281
791,791,1867,612,1997,1071,608,660,1944,247
1439,1439,1201,472,409,1605,556,426,2305,153
1459,1459,864,1841,1786,1738,1781,291,1005,2677
1939,2575,1939,561,1736,2480,424,1568,2122,770
2506,2629,530,1690,2506,702,136,1018,302,1876
1396,492,1321,2144,1915,2584,373,1896,954,951
1382,1382,1877,2713,2608,1806,467,621,1547,446
1014,1634,1014,920,2450,1241,21,1628,1403,2487
898,898,1387,1761,162,280,850,2297,2240,1349
90,90,1649,2564,2196,2471,1901,977,993,673
897,897,2567,1194,1290,456,1259,2030,1266,2727
425,1576,425,2620,2306,2544,2112,1700,831,1615
1753,1753,2068,81,1401,2258,578,2707,2136,681
67,1898,1575,67,1051,1066,1924,2171,2573,234
1134,1134,1805,1112,1880,2132,310,961,623,1951
516,516,1742,422,889,1033,785,1419,928,2717
1486,1486,2118,2272,13,1581,1693,978,1216,223
2351,2351,1647,1003,2065,683,620,2650,427,2224
2310,2310,2485,331,642,1973,631,389,1165,824
175,175,1776,926,2561,2415,2118,2536,2650,237
1547,1547,1806,2630,1877,452,2213,2713,226,2431
1426,1426,1845,1894,778,1784,140,529,418,695
1598,1598,2118,1964,339,481,1471,2536,1586,2598
1289,238,1998,1289,1696,2592,2674,717,581,1903
1879,1879,551,2380,2255,2435,1410,2427,1963,170
1599,1599,2249,1009,0,1370,1298,960,486,2316
1880,1880,1805,1134,1112,1407,2103,2078,1615,1176
607,607,2282,786,1389,183,1571,947,1206,1062
610,610,552,10,369,1175,2583,2010,1958,467
1228,1228,1813,12,2259,24,935,91,2612,2654
1229,1229,2612,141,356,371,380,1228,871,1474
611,611,906,1073,1161,1337,922,2608,1359,2378
1076,1076,1582,896,1218,1455,2513,1084,709,2391
1276,868,1276,1762,319,1199,1295,2251,2505,1280
1629,1629,1392,698,2214,1339,54,463,995,1917
2726,2726,2538,322,715,440,1155,2453,911,1922
282,282,1423,325,2162,2686,421,984,2263,48
1643,1643,2139,727,1900,2567,474,2446,1308,1050
1597,1597,1869,2087,1082,1808,1546,1320,110,1627
1868,1868,1841,2064,1760,92,2189,1444,2677,37
1596,1596,825,603,2540,2431,226,1062,10,2420
638,1750,257,638,1828,2,47,1233,583,846
354,354,1718,1924,1206,779,1579,1603,484,667
2378,2378,714,446,1274,621,2595,1843,2120,1073
805,1543,805,363,815,2285,1317,424,2231,108
1691,1691,146,208,71,2232,2503,537,1918,1778
1544,1544,110,1082,1768,595,598,1722,358,896
2317,2317,2036,966,405,2697,1600,1781,1459,1109
1659,1659,1130,1306,2225,222,275,1247,1533,297
1087,1087,2509,844,1967,1376,1089,644,2020,1118
2275,1713,2275,953,274,1607,1772,639,2671,256
2276,1042,1208,1633,2274,188,2322,2276,230,2730
2277,2277,2212,640,2097,1324,1118,2203,1405,2184
668,668,169,1509,1177,343,1827,321,1623,493
2051,1704,2051,2586,2033,1308,1050,1725,1842,318
2405,2405,944,2167,2657,1059,1209,2223,2495,1135
570,1909,570,1047,1813,1320,903,2576,24,2654
810,810,1799,266,199,2142,2715,1226,1465,1608
205,567,205,1336,1081,229,1298,1188,84,674
2595,2595,27,2437,1184,2630,452,2213,261,2378
1543,1543,805,363,815,2285,1317,424,2231,108
2571,2571,52,1892,2022,2208,770,233,1736,662
1825,915,1825,96,241,487,690,269,2461,149
841,1772,841,1587,2382,397,1408,498,99,274
2580,2580,2161,2203,2564,2212,732,2624,2157,1251
783,783,1184,2437,1175,10,1591,657,613,1132
601,601,1428,1217,1518,1831,2226,367,1281,1264
2443,2443,366,834,1350,1039,341,819,2407,959
881,881,2376,2373,1707,2252,1791,696,721,1801
2524,313,1635,2524,703,1301,1433,394,2676,225
651,651,2222,590,2086,2635,1651,2101,1127,2254
2115,2115,2710,949,1770,1214,2421,2225,2066,626
2354,2083,28,2354,1902,1614,2666,948,265,969
1406,1461,1406,1952,403,790,766,2643,2428,1551
1166,1166,683,1730,1792,2660,352,1688,435,1869
981,967,981,75,130,88,753,2336,2718,2291
778,1894,778,2609,2645,1025,645,549,1426,36
1118,1324,1118,429,2093,301,220,2547,2137,818
1117,1117,2146,1020,577,1152,2663,630,1186,771
1834,1834,639,2520,964,1434,308,1605,1231,1064
2679,2679,643,977,2644,2321,943,1570,827,2430
1309,1309,982,2332,188,2276,1208,2322,1042,2274
1310,1310,1975,2687,2589,200,14,371,350,380
1307,923,1307,2730,416,1302,170,1317,244,2394
1308,1050,1308,2066,1916,1368,2442,911,1533,2511
2687,2687,1975,200,2589,14,673,669,972,776
2488,2488,1211,1921,553,444,2006,999,1615,1888
2526,2526,991,1008,2691,2195,2705,1019,835,2539
1135,1135,2724,2278,2318,2509,831,2523,391,647
2557,2557,414,2142,2135,2185,2028,1843,1881,2591
413,492,1321,2144,1915,2584,373,1896,954,951
1077,1077,2272,1439,2305,1581,1693,893,359,254
313,313,1635,2524,703,1301,1433,394,2676,225
2648,2596,2361,2648,1395,1824,2636,1051,2695,1037
1626,1626,199,1806,266,936,1547,1226,799,608
852,852,1845,1046,140,1889,1513,695,116,1024
1648,1342,2207,489,1480,1648,2529,550,1427,1733
1983,1983,48,1239,2436,325,1423,338,977,2580
961,961,595,312,280,112,850,1387,358,598
1967,1376,1967,2404,2463,1087,2394,1491,2367,228
775,2263,775,404,984,2639,2501,2412,879,1423
2532,2532,672,2551,1441,249,2418,2022,662,174
1151,877,1151,464,1369,1527,1329,2031,1107,628
2400,3,2324,519,1040,2400,2049,1332,63,164
2531,492,1321,2144,1915,2584,373,1896,954,951
2398,2398,2647,1683,616,873,1655,2371,359,893
2530,848,2530,946,1265,2706,643,845,1914,916
2529,1342,2207,489,1480,1648,2529,550,1427,1733
2528,2528,1490,867,422,1431,1944,1226,634,2715
885,885,2332,2274,1042,2276,2368,2322,1633,230
1662,1662,308,1408,1499,500,604,841,1772,2669
285,285,1671,572,1679,502,1585,2633,25,499
286,286,1735,108,2683,316,497,1892,363,1359
251,2057,251,2054,2121,2445,1697,1318,1161,1337
250,250,1186,1464,2292,2540,2445,2677,2146,2638
249,249,174,1225,1777,429,1388,672,1558,1519
118,688,93,1935,243,118,1250,1853,984,404
2064,2064,92,37,277,1868,2698,250,1841,2594
781,781,2231,1225,900,301,429,2279,815,1892
2640,2640,1375,1602,1068,2413,1113,126,989,377
563,563,2035,2023,1407,2103,999,2006,1880,2160
581,238,1998,1289,1696,2592,2674,717,581,1903
1173,492,1321,2144,1915,2584,373,1896,954,951
1489,1489,494,835,1718,537,2655,1197,2239,262
115,2092,115,1673,442,1227,2205,1971,2587,2127
1853,1853,1935,93,1250,243,118,688,89,775
1462,1462,1380,2370,1330,589,1262,1589,1395,2424
2708,163,1010,1321,2411,2493,571,408,1330,2375
2618,1219,741,1165,631,1973,2618,2416,2403,2130
1585,1585,2410,2286,2508,1775,687,1414,285,572
1699,1699,529,1248,2568,964,235,2266,1778,197
349,349,1657,1472,602,576,1229,967,1766,1043
350,2512,350,943,827,1162,1310,2321,1570,2675
1196,1355,1299,109,1196,403,335,2053,645,1756
1194,2727,2030,1259,1290,1194,1266,456,1565,28
2050,2050,1872,1520,33,2262,2569,2560,214,726
1193,1592,2548,619,1507,1193,1692,1092,2597,2296
2048,1701,2048,1308,1130,1050,2710,975,837,1670
1195,163,1010,1321,2411,2493,571,408,1330,2375
2049,164,78,63,1942,2049,212,1376,1963,58
574,163,1010,1321,2411,2493,571,408,1330,2375
575,294,575,2423,1934,84,674,1060,1618,1267
576,576,127,1043,271,423,137,2230,2247,2481
1208,1042,1208,1633,2274,188,2322,2276,230,2730
1379,1379,2142,810,1799,414,1400,622,2559,1132
1774,1774,1492,979,178,1297,353,2303,211,2017
1812,1812,2510,316,497,2721,213,938,1353,1890
1844,163,1010,1321,2411,2493,571,408,1330,2375
2547,2093,2547,829,2601,1118,2097,1324,429,2073
1843,1843,467,1132,1430,2630,857,2713,1877,452
1842,1842,2033,1725,65,2495,275,2442,341,297
1192,1192,1341,811,1502,2061,336,1415,1110,1140
2188,2188,1746,575,294,25,886,362,1553,2543
547,547,1551,588,525,145,1613,585,2015,2650
1767,1767,588,2259,24,2654,1316,1424,547,2650
546,546,54,762,2197,768,1676,1551,2604,1100
1931,1931,1806,1547,634,1944,1877,2630,2213,452
2429,2429,1843,1506,414,990,1803,434,1780,1255
2682,2047,2682,2085,2140,2220,2129,1432,1922,2525
1953,1953,1537,259,1905,1191,1359,2231,108,2084
2671,2671,1306,1130,1725,1842,2033,1375,2413,1113
770,1568,2122,1736,770,1001,1103,1225,634,301
2459,2459,192,151,734,1630,1340,2319,1222,2104
612,1997,612,1867,1160,1649,791,2089,112,777
2160,2160,1615,1176,56,1569,1576,425,2306,1885
2197,2197,585,2015,31,1452,85,1698,213,2721
2358,2358,1074,1435,828,1819,1391,1264,980,6
2389,2389,617,2663,2541,2646,2558,1117,2234,46
664,664,1261,2411,2552,1500,1895,1740,1788,2082
710,710,2626,538,2667,1105,2688,477,865,680
708,513,708,2503,669,419,370,1980,149,1638
1705,1705,635,2518,1081,1026,1225,2058,2614,794
1944,1944,1931,2721,1996,213,1809,167,1353,1547
1007,1007,2213,613,1806,307,1547,2474,520,1793
107,107,1210,1561,1728,805,190,585,1543,1613
2215,2215,400,1089,1025,2070,60,1982,329,2514
1203,1203,1885,2722,514,979,1492,1615,2160,1176
628,628,877,176,1974,1151,665,2403,2399,1887
1202,1202,1269,206,1063,2261,1265,946,640,1466
1204,1204,2368,382,2360,763,885,1210,1919,107
1176,2160,1615,1176,56,1569,1576,425,2306,1885
826,826,2167,1263,2510,1812,2683,70,31,85
1345,1345,1012,20,742,925,2243,466,1220,2456
592,592,2705,2195,490,148,320,433,1000,1897
2292,2292,2349,1257,1186,1464,250,2142,731,374
741,1219,741,1165,631,1973,2618,2416,2403,2130
1147,1147,197,597,2163,2344,334,2412,1251,1990
2554,571,388,1230,1883,2554,2286,1775,2383,2508
123,123,706,537,401,580,2545,94,2288,2729
360,360,2388,1279,428,2267,2124,471,1969,2397
2360,382,2360,1204,148,292,1897,320,1000,490
1179,899,1179,2146,22,577,1152,1020,2638,1090
1188,1188,56,2112,1700,2306,2620,2544,425,1576
2396,2396,1913,2331,1555,2161,2483,2010,1989,2135
750,750,789,1548,2362,2180,32,2369,694,2153
1230,571,388,1230,1883,2554,2286,1775,2383,2508
669,669,2018,1071,612,1208,1633,2103,230,1407
2665,2665,320,490,1000,433,1897,148,1025,2400
1907,1907,1748,2432,1267,2435,545,2027,886,1553
1416,163,1010,1321,2411,2493,571,408,1330,2375
1855,498,99,1855,1538,841,744,1772,1216,2280
1407,2103,1407,1880,146,1176,2160,1615,563,2132
2308,2308,1053,2668,1114,1389,715,1499,1434,308
2162,2162,2392,2686,282,2263,775,404,479,984
786,786,1389,962,950,1053,2668,1268,2174,2308
1008,1008,2691,2526,999,2423,2705,2195,1947,420
2587,2587,2218,1035,600,720,590,283,1945,1515
2357,1200,2357,2625,106,1055,913,31,85,1720
734,734,151,2302,2375,1469,1630,2610,1417,2058
850,850,1387,2601,961,2549,2110,2242,412,2190
851,851,314,526,2416,1577,1816,1466,285,572
2608,2608,1877,2713,1359,2583,1382,467,1806,446
1311,1311,2327,782,210,1093,527,1747,207,1525
1102,1102,363,2231,108,347,1773,15,1189,436
2303,2017,211,2303,1314,1450,2598,378,1492,85
2322,1042,1208,1633,2274,188,2322,2276,230,2730
2233,2233,192,2375,1871,911,479,2066,1198,2282
203,203,432,1546,1627,1242,917,1717,239,1768
227,227,691,2052,1832,1362,459,132,2575,1939
1558,1558,1720,801,770,1324,2601,1001,2122,2721
479,479,2162,2375,2233,984,2263,2009,404,2139
1238,1238,2630,452,1547,266,199,1132,1806,799
1562,1562,778,1392,1299,2013,109,1355,1425,1196
463,463,89,1372,403,1474,45,335,1463,539
464,464,1527,1897,320,148,490,1000,267,460
1033,1033,785,928,1443,679,263,1072,699,1873
1034,1034,1823,2535,122,2329,1468,2492,2517,1216
764,764,624,74,338,533,673,977,1512,1836
356,356,469,1421,1070,1229,1960,753,638,1828
886,362,1553,886,1250,688,118,84,1723,243
1493,1493,1965,2585,1479,857,1711,2117,284,2662
1494,1494,1335,476,2655,1066,2260,2148,1283,1966
499,1679,499,909,1723,2723,2659,535,2503,2508
498,498,99,1855,1538,841,744,1772,1216,2280
1010,1010,2681,2463,1815,1735,2670,999,1707,2160
1550,1550,233,938,1890,836,1360,2346,719,138
2375,2375,2058,151,734,1026,2372,876,2302,2365
1330,1330,589,2256,757,1462,1584,1583,2257,491
408,408,2134,2574,1720,801,1558,74,2362,533
571,571,388,1230,1883,2554,2286,1775,2383,2508
2493,2493,1901,2196,1154,2706,482,1833,1108,643
2411,2411,2069,2615,433,1019,991,2613,1625,592
1321,492,1321,2144,1915,2584,373,1896,954,951
2204,2204,82,125,1455,605,655,2074,160,1128
2494,212,2494,752,1715,2071,164,1942,842,2482
835,835,2252,537,845,1489,57,1556,1202,2095
1755,1755,1388,1777,777,1716,1732,2372,1905,815
964,964,461,1605,1125,1248,1349,1834,2377,2479
1657,1657,349,663,2628,1472,602,1341,2428,746
1079,1079,2104,737,1469,709,2590,1630,151,734
2566,2566,2480,1303,2169,543,2621,1667,454,1613
1658,1658,2450,920,63,1942,164,2049,78,1487
2613,2613,1625,1848,972,58,1535,1019,51,637
2614,2614,2365,174,249,2242,2366,2190,1473,2110
2615,2615,1984,2411,1673,2205,137,2247,39,2230
1674,492,1321,2144,1915,2584,373,1896,954,951
2551,2551,1646,1388,1777,1116,2381,348,849,701
1987,2433,1987,296,793,693,2039,2014,311,2550
1986,1986,646,2636,2298,477,865,2685,2688,2296
1985,1985,1205,1584,2644,1483,2330,1352,1893,2256
1498,1498,2097,2295,184,1764,2093,2547,2163,2196
1984,1984,2615,1539,1048,991,511,2411,2462,1234
1119,1119,1182,644,2234,90,1417,1294,2028,2279
890,890,776,454,132,1303,2621,1975,200,2687
762,54,762,546,525,1551,1100,1676,698,1392
755,755,1237,1548,2180,1906,1755,174,644,249
1465,1465,810,1799,266,199,1081,634,2000,1226
2205,2205,1959,1126,115,2092,2615,2411,442,1984
2385,2385,752,2494,1089,212,2020,249,174,644
11,11,1453,1274,2521,1972,1479,374,2457,1826
1797,1797,1934,1019,937,2295,1466,575,2613,991
1800,238,1998,1289,1696,2592,2674,717,581,1903
1799,810,1799,266,199,2142,2715,1226,1465,1608
1798,1798,228,1037,802,1376,1265,946,1967,1087
50,163,1010,1321,2411,2493,571,408,1330,2375
2052,2052,227,459,132,1795,1728,514,763,750
2673,2673,863,1696,1289,1739,278,1998,717,2592
2507,1224,2689,2507,2215,400,1304,510,1790,824
1445,1445,931,121,1943,548,878,1005,172,2479
828,828,891,2043,1623,2402,2358,318,2348,1904
1381,1381,830,2404,1491,2394,2613,1625,991,2367
959,2407,1167,819,959,859,160,61,531,1993
1760,1760,1868,119,2064,1841,892,260,992,2677
1367,1367,1391,1925,1264,2402,2218,318,1146,2390
958,492,1321,2144,1915,2584,373,1896,954,951
949,1214,949,1770,626,2115,483,1347,1247,1047
956,1354,2573,952,2341,2016,956,234,2284,2171
946,946,1265,2394,1764,2404,991,2367,1491,1940
947,947,1525,603,1090,2638,501,1743,2005,1596
722,1385,722,2542,2709,1136,533,74,2417,1736
948,2083,28,2354,1902,1614,2666,948,265,969
950,950,2505,1389,786,956,952,2284,2573,2016
951,492,1321,2144,1915,2584,373,1896,954,951
957,957,2294,1709,891,1831,2454,252,2657,1059
952,1354,2573,952,2341,2016,956,234,2284,2171
953,953,2275,1713,445,81,2438,578,2419,1858
955,955,444,1679,2415,499,2561,1921,2536,388
954,492,1321,2144,1915,2584,373,1896,954,951
1766,1766,545,713,1177,602,980,6,2441,245
1513,1513,2326,2090,1541,366,725,1327,1460,2594
1517,304,1517,712,770,1568,1736,1001,2122,2223
1516,974,315,1516,304,418,218,1517,712,172
1515,1515,533,74,1437,1128,1136,2362,2012,177
1514,1514,2110,2190,1473,2242,2366,2696,2475,1103
1519,1519,249,174,1356,900,1225,429,1388,1777
281,659,281,1949,603,2540,2638,1090,1596,2420
1518,1518,1217,1367,1785,1391,2685,1977,748,509
916,2237,1914,916,1850,1332,1876,365,0,2687
433,433,592,2665,2195,2705,148,490,1019,320
2174,1268,1859,2174,1689,1145,962,584,2244,1389
407,2639,407,2501,1569,540,984,2060,404,775
723,723,888,1656,186,1319,1364,49,428,458
2116,1810,2116,513,2598,1572,1450,1921,779,708
967,967,981,75,130,88,753,2336,2718,2291
2014,2336,2014,1908,967,1987,1647,2732,793,296
2015,2015,2197,2087,98,525,903,1551,288,468
2016,1354,2573,952,2341,2016,956,234,2284,2171
2017,2017,211,2303,1314,1450,2598,378,1492,85
2018,1240,2018,2268,2040,1649,2730,146,1302,2232
2020,2020,429,781,276,644,249,1324,1118,737
2019,2019,2089,112,1390,139,418,312,531,859
2013,2013,1962,1052,2053,767,2390,1378,798,1508
2426,2426,1158,401,2496,580,1044,2462,586,1484
1125,461,1125,1248,1349,2377,964,129,1076,2204
1632,1632,2046,2355,1618,1068,1060,2125,2163,2113
2623,2623,306,1313,2375,1627,1368,2009,2442,2066
1055,1200,2357,2625,106,1055,913,31,85,1720
1056,1138,1056,1476,493,2033,158,647,1725,1842
314,314,263,2094,2320,2059,536,1963,1848,1833
1057,1057,677,18,2334,2205,2081,2615,1959,1126
1133,1133,2339,332,310,1069,1023,675,2295,1325
1270,1270,214,297,834,341,1872,1138,33,1476
2516,2516,1845,2241,2441,245,1426,2085,1286,60
117,163,1010,1321,2411,2493,571,408,1330,2375
531,531,859,61,2281,2495,974,2242,315,2223
1415,1415,746,689,554,1502,904,2157,1870,1197
362,362,1553,886,1250,688,118,84,1723,243
2517,2517,1216,223,122,1653,2280,99,1849,498
204,204,2582,2223,1944,614,634,1554,391,1399
2515,2515,366,2064,1464,250,1186,566,2007,2558
2519,2519,1087,1293,1243,789,2626,919,2667,1105
2518,2518,2084,2559,1768,2113,595,1705,410,1582
447,447,2097,2163,2547,2093,711,2712,2277,1498
443,443,1912,485,1656,430,949,246,1214,1770
445,445,1469,681,1247,151,1417,734,2610,399
449,163,1010,1321,2411,2493,571,408,1330,2375
448,448,907,999,541,1732,2705,1594,2730,2195
446,446,621,1877,2713,1881,2662,1711,2117,1566
444,444,2723,1577,2416,1817,955,945,2488,1700
1889,1889,2077,1786,1005,140,2189,1444,1109,864
1074,1074,1982,891,1146,2358,2574,965,2223,2184
81,81,681,1447,1314,1777,1388,1519,85,1031
2641,2641,1968,1017,2119,1916,604,911,1348,1198
1704,1704,2051,2586,2033,1308,1050,1725,1842,318
492,492,1321,2144,1915,2584,373,1896,954,951
381,163,1010,1321,2411,2493,571,408,1330,2375
490,490,148,320,1000,1897,1208,2060,2322,188
489,1342,2207,489,1480,1648,2529,550,1427,1733
488,488,2031,1027,507,1061,460,2131,685,877
963,963,290,978,1693,1581,254,2441,245,2514
379,753,765,379,1693,319,1642,1762,344,1276
380,371,380,1229,460,1850,1961,2602,1027,2237
491,757,2256,1583,491,1584,2257,1874,2481,846
486,960,2316,1377,486,2237,1654,916,1162,1991
487,915,1825,96,241,487,690,269,2461,149
466,466,1758,189,2687,2589,759,134,14,200
899,899,1179,2146,22,577,1152,1020,2638,1090
1835,492,1321,2144,1915,2584,373,1896,954,951
1836,1836,673,2366,2190,612,454,867,1667,1431
1837,1837,222,2225,264,1659,884,16,945,80
478,478,1957,2478,629,1135,2215,290,1552,1538
1838,1838,309,1964,1471,1273,1128,993,2659,2180
884,945,884,2278,1492,1237,913,178,1637,831
2688,865,477,2688,1364,1865,1849,1986,1681,2106
2085,2085,393,2682,2047,218,794,2241,1286,2070
2086,2086,2635,847,2218,2369,265,969,948,2153
2590,2590,2564,1079,1970,1455,2471,2104,2079,1128
794,794,911,718,1705,2518,2619,1198,334,2641
793,2433,1987,296,793,693,2039,2014,311,2550
