,accord_text
 Tea Rose Mimosa - Limited Edition,
 The Path,
 Violet Firefly,
 White Lotus,
 Wildii,
 Yasym,
 Arcadia,
 Avant Gardenia,
 Pink Lotus,
 Barcelona,
 Calme Tranquille,
 Eau Naturel,
 Energique,
 Janpath,
 Moonlight,
 Petite Brise,
 Tansy,
 Bulgakov,
 Pagan,
 Siddartha,
 Sylvana,
 Audrey,
 Dragonboat,
 Tea Rose Mimosa,
 Blossom,
 Kodama ?¨é,
 Light,
 Versailles,
 Garden of Pleasures,
 Anjana,
 Gulaab,
 Irises,
 Mozas del Agua,
 Nepenthe,
 Ruh Khus,
 Taif Rose,
 Tenderness,
 Artemis,
 Jasmine Yuzu,
 Mogra,
 Ambrosia,
 Antarctica,
 Lili,
 Night Song,
 Odile New Edition,
 Ritual,
 Rose Embers,
 Wan Chai,
 Zeeba,
 Body,
 Mind,
 Spirit,
 Gondwana,
 Mokaya,
 Myrrh,
 Quintessence,
 Snowfall,
 East,
 La Selva Sagrada,
 Odile,
 Pema,
 Ruby,
 Tallemaja,
 Tristan,
 Yseult,
 Al Ghaliyah,
 Hekayat,
 Ishraaq,
 Itr Al Ward,
 Jasmine,
 Kaashef,
 Mukhmal,
 Qubrus,
 Saqr,
 Saqr II,
 Turath I,
 Turath II,
 Ward,
 Ward,
 Yaqoot,
 Yasameen,
 Arnott's Tim Tam,
 Awesome,
 Free,
 Legendary,
 Love,
 Unique,
 Slow World,
 Tea Service,
 Weeping Rose,
 Christos Man,
 Christos Woman,
 Black Cockatoo,
 Black Jasmine Rose,
 Colonial Gold,
 Convict Diamond,
 Gold Rush,
 Melbourne Amber Musk,
 Ned Kelly Titanium,
 New Bluegum Amber,
 New Grand Crown,
 New Ormeau Oud,
 Outback Sapphire,
 Rocks Gold,
 Royal Banksia,
 Royal Sovereign,
 Silver Penny,
 Abundance,
 Amber,
 Satisfaction,
 Trance,
 Urbane,
 Fire Amber Baby,
 In The Woods,
 Jazz Age Jasmine,
 Karavanserai,
 Something Beautiful,
 Sweet Libertine,
 The Hedonist,
 The Nightingale's Cup,
 Delta,
 Amourette by Jean-Pierre,
 Fearless,
 Gina,
 Luminous,
 Diving Into Cyprus,
 Flower Symphony,
 Forever Florence,
 Kyoto in Bloom,
 Melbourne Muse,
 Midnight in Milan,
 Rendezvous,
 Sunset in Capri,
 Essence of Rose,
 181 Fathoms by Blue Stratos,
 Blue Stratos,
 Cool Britannia by English Blazer,
 English Blazer,
 Ascension,
 Darkness,
 Delonix,
 Knight IV,
 Outlaw,
 Shrine,
 Wanderlust,
 Cay,
 Chandra,
 Light,
 Mura,
 Padme,
 Sunya,
 Saudade,
 Vantablac,
 Guilty Story,
 Mikado Bark,
 Petrichor Plains,
 Sienna Brume,
 Oakmoss,
 Bohemia,
 Courage,
 Devotion,
 Dreamer,
 Field,
 Frangipani,
 Freedom,
 Grace,
 Hope,
 Rain,
 Seeker,
 Slow Fire,
 Solitude,
 Sweet Water,
 Symphony,
 Whisper,
 Answer,
 Art,
 Beau Temps,
 Bella,
 C-Duce,
 Caliber,
 Encoded,
 Encoded,
 Foxy,
 Nero,
 One Wish,
 Possess,
 Possessed by Midnight,
 Ra'Gazzo,
 Serenade,
 Silver Slush,
 Teak,
 Unlimited,
 Lost Wonderer,
 Cielito Lindo,
 Kolonya,
 La Whatever,
 Last Of D?Agar,
 Amber,
 Jasmine,
 L'Eau,
 Mediterranean Lily,
 Musk,
 Snowpeach,
 Tuberose,
 Forest,
 Halcyon,
 No. 6,
 Resort,
 Solstice,
 Parfum 11,
 Parfum 30,
 Parfum 39,
 Parfum 44,
 Parfum 56,
 Parfum 58,
 Parfum 75,
 Parfum 80,
 Effervescent,
 Inhale,
 Muse,
 Sleep,
 Sunday,
 Zesty,
 Amandi,
 Imperium,
 Motus No.4,
 Motus No.7,
 Nativus Spiritus,
 Nativus Terra,
 Sensuali,
 Veritas,
 Bohemia,
 Courage,
 Dreamer,
 Field,
 Freedom,
 Hope,
 Rain,
 Seeker,
 Slow Fire,
 Solitude,
 Symphony,
 BohÃ¨me,
 Desert NÅmad,
 Dusk Amour,
 Ember Haze,
 Isle Of Blanc,
 Luna,
 Midnight Ruze,
 Black In Deep Red,
 Dorsia,
 Especial,
" Fiat Lux
 ",
 Ira,
 Winstons,
 Circa 91,
 Desert Nomad,
 Gipsy Cowboy,
 Grand Larceny,
 Juliet in White,
 Vigilante,
 Canturi,
 Golden Temple Effusion,
 Sagittarius,
 Renaissance,
 Eau de Tommi Sooni I,
 Eau de Tommi Sooni II,
 Eau de Tommi Sooni III,
 Jinx,
 Passerelle,
 Tarantella,
 Jua,
 Caramella,
 Coconut & Lotus,
 Cotton Candy,
 Island Blossom,
 Lemongrass Blend,
 Peach Blossom,
 Pomegranate,
 Vanilla,
 Vanilla Blend,
1994,
 Haze,
 Her | Her,
 His | Her,
 Muse,
 Nomad,
1920,
 1920 Gentleman,
 1920 Lord,
 1920 Prestige,
 Absinto Ousadia,
 ADC Crazy MaÃ§Ã£ Verde,
 Aragem,
 Attractive,
 Attractive,
 Attractive Masculino Sport,
 Attractive White Code,
 Ãvidus,
 Cairo,
 Colour You 1,
 Colour You 2,
 Crazy SensaÃ§Ã£o de Morango,
 Crazy SensaÃ§Ã£o de Morango,
 Crazy Toque de Vinho,
 Deborah Secco,
 Duna,
 Euphoric,
 Fifteen XV,
 Flagrant,
 Forest AmazÃ´nia,
 Forest Livre,
 Homem,
 Ideale,
 Loop Pink,
 Obelisk,
 Once,
 Oniric,
 Poema,
 Princess Pink Night,
 Princess Pink Teens,
 Rhodes,
 Sexy Attractive,
 Sexy Attractive,
 Sofist,
 Symbolus,
 Tenerife,
 Wishes Pink,
 Wishes Rock,
 Zott,
 #Self[ie] Black,
 #Self[ie] Blue,
 #Self[ie] Live Green,
 #Self[ie] Live Pink,
 #Self[ie] Purple,
 #Self[ie] Red,
 #Self[ie] Yellow UZ,
 Absinto,
 Absinto Elixir,
 Absinto for Man,
 Absinto Le Jazz,
 Absinto Proibido,
 Absinto Proibido for Man,
 Absinto Secreto,
 Ãgua Fresca,
 Ãgua Fresca Citrus,
 Ãgua Fresca Dreams,
 Ãgua Fresca Flor de GuaranÃ¡,
 Ãgua Fresca Folha de Caju,
 Ãgua Fresca Lavanda,
 Ãgua Fresca Original,
 Ãgua Fresca PÃ©tala de Rosa,
 Ãgua Fresca Summer,
 Ãguas de Cheiro Amor de Cordel,
 Ãguas de Cheiro Compota de Alegria,
 Ãguas de Cheiro DanÃ§ando na Chuva,
 Ãguas de Cheiro Ã Ginga Ã MalÃ­cia,
 Ãguas de Cheiro Fazendo Fita!,
 Ãguas de Cheiro Feliz e Faceira,
 Ãguas de Cheiro Jogando Charme Colhendo Flores,
 Ãguas de Cheiro Mulata Arretada Rosa Apimentada,
 Ãguas de Cheiro Pintando o 7!,
 Ãguas de Cheiro Rolando na Relva!,
 Attractive Black Code,
 Attractive by Deborah Secco,
 Bella Flor,
 Bella Flor Betty Boop,
 Bella Flor Black,
 Bella Flor ExÃ³tica,
 Bella Flor Tropical Summer,
 Absinto Desejo,
 Absinto SeduÃ§Ã£o,
 Attractive,
 Sexy Attractive,
 Camaro Black,
 Camaro Blue,
 Camaro Red,
 Absolute,
 Eternus,
 Mirror Man,
 Seducce.,
 VÃ©rtice,
 Forest,
 Hydros,
 Hydros Adventure,
 Hydros Discovery,
 Hydros Pacific,
 Hydros Sea Rose,
 Hydros Voyage,
 Be The Legend,
 Eternal Legend Intense,
 Legend,
 AmÃªndoas e Cereja,
 DoÃ§ura de Caramelo,
 Meu Bem Estar Campos de Lavanda,
 Meu Bem Estar Carinho de Jasmim,
 Meu Bem Estar Conforto de AlgodÃ£o,
 Meu Bem Estar Energia do LimÃ£o Siciliano,
 Meu Bem Estar Esplendor de Cerejeira,
 Obelisk,
 Obelisk Nuit,
 Relic,
 Relic Glam,
 Relic Gold,
 Saver Royal,
 Saver Royal Black,
 Saver Royal Reserve,
 Bamboo & Green Tea,
 Blue Cypress,
 Cafe Massoia,
 FraÃ®cheur d'Orange,
 Green Wood,
 Ispahan,
 La Vie En Rose,
 Luminescencia,
 Mademoiselle,
 Monsieur,
 Oriental Noir,
 Papiro,
 Pomelo,
 Santal CafÃ©,
 Smoking Lounge,
 Tonkalmond,
 Vive La FÃªte,
 Yasamin,
 Bittersweet,
 Famonty,
 Iris Dark,
 Vanille SucrÃ©,
 Citron Noir,
 Infiniment Mandarine,
 Orange Flamboyant,
 Pluie D'Orange,
 Amberfig Eau de Parfum,
 Amberfig Eau de Toilette,
 Amberfig Extrait,
 Papiro Absoluto,
 Cuir FÃ©tiche,
 Iris d'Or,
 Oudh,
 Precious Oud,
 Santal Rouge,
 Tabac Royal,
 TÃ©nÃ¨bres,
 24K,
 Absinto Royale,
 Acqua Profumata,
 Alliban,
 Anges Lavander Soir,
 Beso de Ylang,
 Blue Star,
 Bordeaux Male,
 Brooksfield,
 CafÃ© BistrÃ´,
 Captain Miller,
 Chamomille,
 Cioccolato Allegro,
 Cipreste Quintessence,
 Cipreste Quintessence,
 CleÃ³patra,
 Dame de La Nuit,
 Dark Rose,
 Eau de Lavander,
 Ãpices Cuir Et L'ecense,
 Ãpices Cuir L'ecense,
 GardÃªnia,
 Giardino de Toscana,
 Green Horse,
 Honey Neroli & Myrrh,
 Hybnuz Provence,
 Illamane,
 Inimaginable LÃ³tus,
 Istanbul Turkey,
 Jalad,
 Jasmim Imperial,
 L'eau de Sruti,
 Le Tabac & Citrus,
 Le Tabac Tradiction,
 Le Tabac Vanilla,
 Lilac Lilac,
 Liz LolÃ­ssima,
 Loren,
 Madeira Oriental,
 Madraga,
 Magdalene,
 Marrakesh,
 Mimosa & Tonka,
 Musking,
 MyrrhÃ© Frankincense,
 Narcissus MolÃ©cules,
 Nefertari,
 Opium FrancÃªs 1977,
 Palo Santo Oud,
 Patchouli & Flores,
 Patchouli Strong,
 Pure Oud,
 RamsÃ©s II,
 Rebecca & FilÃ³,
 Rebecca 5,
 Rose de Provence,
 Rose Indian,
 Scent of Hemp Black,
 Scent of Hemp Choco,
 Scent of Hemp Fruttata,
 Sheik Ãmbar Incense,
 Spartakus,
 Sultan,
 Tubereuse RomÃ£,
 Vanilla & Fruits Rouge,
 Vanilla & Orange,
 Vanilla FranÃ§aise,
 Vetiver Musc Gold,
 Vetivert HerbÃ¨,
 Yasmin Soleil Du Monde,
 AÃ§ucena,
 AmaÃº,
 Amor Perfeito,
 Amor Perfeito,
 Apoena,
