target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank,10rank
2200,163,1010,1321,2411,2493,571,408,1330,2375,1550
2198,163,1010,1321,2411,2493,571,408,1330,2375,1550
2199,2199,1574,595,112,312,2542,2089,880,1031,326
1972,1972,2067,548,1943,2189,1826,1444,1223,653,180
2605,2605,1243,1490,517,204,391,2528,1399,1545,932
1241,1241,2287,2045,2706,1634,1482,1014,1234,1703,2493
1326,1326,2044,807,132,459,941,2021,1275,240,2049
2630,2630,452,266,1132,1806,1238,199,1547,2595,1843
212,212,2494,752,1715,2071,164,1942,842,2482,78
1520,1520,2050,1080,2463,2694,1703,2348,134,33,1872
1521,1521,834,336,1079,2104,2079,1801,242,737,1469
1522,1522,2132,326,1287,1036,1920,1805,1134,1569,2686
1021,1021,2504,2362,397,694,475,2134,16,2625,1200
2391,2391,301,1582,2471,2564,1455,2331,2513,781,1892
2081,2081,1863,1321,1896,2003,1610,569,951,1396,413
279,279,2005,333,608,547,1046,695,1210,791,107
1577,2416,1577,444,691,263,1362,631,1219,1973,1165
1528,1528,561,2070,60,329,1568,55,2571,528,2208
2046,2046,1393,986,1632,1695,1060,1618,2084,866,1528
278,238,1998,1289,1696,2592,2674,717,581,1903,929
54,54,762,546,525,1551,1100,1676,698,1392,231
2036,966,2036,1781,980,2317,6,864,2147,1109,2605
1245,1245,388,2554,1230,571,1883,2256,2257,2286,793
48,48,1423,325,1983,282,984,775,1764,421,2263
62,62,564,2728,1567,804,155,1752,78,63,2049
2546,2546,357,1525,427,2650,326,620,2438,823,322
13,13,1486,1865,1849,2622,1278,806,2272,2470,481
1552,1552,84,674,629,2130,575,1700,2544,1712,1414
1553,362,1553,886,1250,688,118,84,1723,243,909
1256,1256,40,0,1784,2455,1349,2706,1833,1746,986
1712,2060,1712,2160,2501,1615,1176,2639,407,490,118
2610,2610,734,1417,1026,2058,151,445,2372,2221,876
679,1976,2038,699,679,1873,365,1332,1963,1848,1934
2502,2502,2712,2568,5,1587,2382,1820,829,2225,1263
2228,2228,2329,2026,2108,80,422,498,99,1577,524
2503,2503,1407,2103,1710,2009,513,499,1679,1123,2191
2330,1044,1893,586,1483,2330,646,1099,1681,2648,1158
552,552,613,610,2213,10,1175,226,2583,157,1958
2616,163,1010,1321,2411,2493,571,408,1330,2375,1550
2327,2327,527,1311,415,383,1238,2290,782,199,266
271,271,1933,1107,488,2031,1654,1061,1027,1066,1151
2328,2553,2328,1249,1320,2305,2660,1869,1456,367,570
2329,2329,99,2228,1577,1402,498,524,564,1855,2416
659,659,281,1949,603,2540,2638,1090,1596,2420,366
859,531,859,61,2281,2495,974,2242,315,2223,1516
2596,2596,2361,2648,1395,1824,2636,1051,2695,1037,1575
254,254,1693,978,1581,1588,2732,1960,963,2158,469
2549,2549,412,1387,1901,2455,2059,2196,850,673,1154
1483,1044,1893,586,1483,2330,646,1099,1681,2648,1158
748,748,1217,1518,2334,18,538,2587,120,1264,1292
1470,1470,896,1731,1197,5,1778,506,242,1671,1076
1260,1101,1260,2226,233,2571,1871,461,2346,1360,82
199,199,266,452,2630,1626,810,1799,1238,936,1132
2386,2386,2301,931,2483,1274,2128,548,1174,878,1943
878,878,2307,1274,731,548,121,1943,374,1445,1005
1660,1729,1660,2368,2629,302,530,1018,0,1190,1876
92,92,1111,2698,2064,2121,1318,303,2457,2189,985
2134,408,2134,2574,1720,801,1558,74,2362,533,2721
1127,1127,1384,1136,593,32,709,2566,2369,2153,651
1128,1128,82,1473,2366,1368,288,275,1055,2242,1350
1129,1129,1892,108,2279,1543,301,805,2137,561,206
1130,1130,1546,1533,2442,1368,1776,1659,1627,275,1701
1191,1191,2084,595,814,1931,1905,2692,829,259,363
68,68,1297,923,1307,1885,103,999,146,1176,2160
230,1042,1208,1633,2274,188,2322,2276,230,2730,1302
111,740,111,808,669,1185,1512,2634,170,1654,2321
1364,1364,865,2688,477,505,723,1820,430,246,1656
214,214,1270,33,1232,726,2672,2056,43,2050,811
1817,1817,444,103,1362,1832,1297,201,1203,1429,1774
439,439,818,384,856,222,1059,2657,1209,1324,1118
2462,2462,1009,1539,2287,2477,2095,1202,2063,2545,2456
2130,2130,365,699,679,1650,2340,464,1873,1946,2038
2456,289,2456,1345,742,1012,20,2095,2681,1815,1557
2242,1473,2242,2190,2366,2110,2089,1387,2614,312,1514
100,100,2716,625,2314,2677,2638,1090,577,1152,415
169,169,668,803,1235,1509,1680,2724,2132,321,1344
2594,2594,2540,1826,277,37,2067,1596,2417,366,2599
2027,2027,338,1723,535,1429,909,2578,201,2246,1570
847,847,1504,2086,2635,2226,2672,790,2062,1415,600
270,163,1010,1321,2411,2493,571,408,1330,2375,1550
73,73,1161,1255,434,1780,119,446,1282,621,1382
561,561,1736,770,1568,2480,1001,2122,1303,132,1431
269,915,1825,96,241,487,690,269,2461,149,1463
2600,730,2600,1036,1522,803,984,2263,1142,404,775
1471,1838,309,1964,1471,1273,1128,993,2659,2180,2062
297,297,1212,2079,726,1306,1842,2033,1725,222,1659
296,2433,1987,296,793,693,2039,2014,311,2550,729
1320,1320,1869,1456,570,1249,2328,1909,2553,1597,2087
1917,1917,2055,766,698,1392,683,2214,321,435,2293
32,2369,2153,32,789,1838,1515,624,764,750,1471
295,295,1609,1475,1698,2686,98,1929,15,632,2058
1862,965,2184,1405,1862,849,2532,801,1558,2277,2381
1069,1069,1133,788,332,1640,2339,259,1905,1755,310
2287,2287,1241,1487,2261,2045,2706,1634,1014,2462,1234
1148,1148,219,258,281,2594,1460,892,725,1327,659
2475,2475,384,2657,1059,1041,1754,2696,2113,2468,2006
2474,2474,355,1711,2117,2662,2417,2490,1481,2599,446
2477,2477,864,2462,1972,1786,633,1453,2363,881,2373
2473,2473,1721,1274,714,210,731,34,1430,1506,1453
184,1764,184,1498,2277,2212,1265,946,329,1324,2097
2472,1672,2472,2523,2724,1492,178,647,2167,1569,1561
2476,2476,1409,653,2331,369,1506,1530,49,2067,2133
2696,2696,1353,213,1313,167,2721,1809,1996,1041,347
2490,2490,1481,2474,1226,2715,594,517,985,303,1337
218,218,2238,315,1516,1604,974,2495,121,374,1705
1026,2058,1026,2372,876,2365,2375,1777,2610,1609,295
1768,1768,154,2084,2518,595,598,998,358,1248,1990
1877,1877,2713,2608,467,1547,621,446,1806,1382,2290
636,636,93,1935,243,1250,118,36,688,557,2263
370,370,217,471,708,513,1210,885,547,279,107
914,163,1010,1321,2411,2493,571,408,1330,2375,1550
6,6,980,966,2358,2036,2243,511,1285,1766,2697
913,913,1637,1968,1059,222,2119,2657,1200,2442,2357
1205,1205,2124,1352,2644,736,2364,1985,298,1681,1328
1805,1134,1805,1112,1880,2132,310,961,623,1951,2686
1994,1994,493,158,1235,752,724,2495,543,2711,1135
1200,1200,2357,2625,106,1055,913,31,85,1720,2320
1959,1959,1126,1529,677,2205,1971,1854,115,2092,2615
2697,1600,2697,1941,1254,1668,1790,1333,800,510,1367
1772,1772,841,1587,2382,397,1408,498,99,274,1855
1604,1604,218,1212,1725,160,1842,2033,1968,2119,1516
2203,2203,2624,2277,2564,1251,2471,2212,2580,2097,640
2206,79,2206,465,985,303,2101,37,277,1004,2254
900,900,781,2231,2279,1225,2073,301,429,1485,1519
1934,1934,1797,575,2295,1466,294,1873,1332,2038,2450
2438,2438,1544,418,603,2151,605,655,1820,2311,2419
1144,1144,76,1044,1893,586,2330,1483,1868,2388,2397
1274,1274,2378,714,548,878,121,731,374,1943,857
1052,1052,2053,2699,719,1360,2576,1106,2066,836,1930
2110,1473,2242,2190,2366,2110,2089,1387,2614,312,1514
2361,2596,2361,2648,1395,1824,2636,1051,2695,1037,1575
161,161,2570,1664,390,1839,739,860,908,2638,1090
1747,1747,467,608,799,1093,1311,207,1843,1877,857
860,860,2604,161,427,1178,2026,498,1402,2480,1486
2478,2478,478,1957,2523,2501,407,2724,2639,36,1488
1710,1710,1888,71,987,2503,2375,56,2009,2711,2037
1601,1045,701,1601,2381,849,167,2460,1996,213,2551
1504,1504,2672,847,687,727,474,1900,1585,2652,1497
1492,1492,178,1561,1569,884,945,2009,1672,2472,392
736,736,2560,1205,1297,1659,2731,68,1080,1837,2050
876,876,2372,1026,1388,1116,1777,632,1016,2058,2692
1030,2136,1030,1388,1777,876,2372,259,2611,2721,1755
578,2258,578,2707,1028,1948,1446,988,1532,1213,445
2376,2376,968,881,763,2313,1791,1707,642,1549,389
840,840,2387,113,2410,2100,615,1994,1500,1710,479
696,696,1150,278,238,1696,1998,1903,1322,1289,1800
2294,2294,957,2432,1239,1552,1957,103,478,2340,730
698,698,1392,403,762,54,1917,1588,472,1562,1629
1186,250,1186,1464,2292,2540,2445,2677,2146,2638,1020
1187,1187,774,19,2116,1810,1295,2251,2537,12,1551
567,567,205,1336,1081,229,1298,1188,84,674,587
1022,1022,77,210,2002,747,2074,322,1130,655,605
1303,454,1303,2621,561,2455,673,1836,890,776,1951
2152,2152,192,1717,2459,2319,1222,1272,2520,714,856
2146,2146,1020,1186,1117,1571,1464,250,771,1179,899
2148,2148,2636,2655,1120,1197,834,1270,262,2239,806
2147,2147,1109,2698,771,1111,1786,1172,1697,2457,1005
697,697,629,478,2294,1552,103,1957,1429,891,2478
1592,1592,2548,619,1507,1193,1692,1092,2597,2296,1524
226,226,467,613,1132,1806,2585,1547,608,2713,2213
1464,250,1186,1464,2292,2540,2445,2677,2146,2638,1020
1453,1453,2363,11,1803,922,1274,1972,1444,2457,1318
1132,1132,1843,2630,452,226,1547,467,1806,199,266
2705,2195,2705,592,1940,991,2344,999,2730,1594,1302
1996,1996,1809,213,2721,1353,167,1777,2696,1016,402
1112,1134,1805,1112,1880,2132,310,961,623,1951,2686
194,194,480,927,1215,2265,2662,2117,2431,1711,528
2070,2070,60,1275,1528,400,2215,2467,304,712,1517
856,856,2299,239,248,2391,439,1385,2422,1684,722
210,210,714,527,1093,1311,731,875,1022,1430,1843
2318,2318,1618,1135,1393,1032,2333,2113,2278,2059,2724
