target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank,10rank
2609,2609,1023,495,191,1894,778,1133,529,2339,280
2279,2279,781,815,644,2231,805,1081,131,429,1336
1628,1628,21,1403,557,916,1914,1234,1040,1482,189
1081,1081,635,1393,1705,2279,1465,2250,1225,190,1336
2589,2687,1975,200,2589,14,673,669,972,776,535
318,318,2402,828,2586,2051,1704,1925,1264,1391,1367
1064,1064,2377,461,1125,2511,1617,2154,283,2111,153
1158,2426,1158,401,2496,580,1044,2462,586,1484,2330
195,1305,195,1138,300,1056,499,1679,134,1476,1872
2365,2365,2058,1026,1417,1388,1777,112,2089,348,2614
2364,2364,1352,481,779,215,1205,1824,1108,643,430
2366,1473,2242,2190,2366,2110,2089,1387,2614,312,1514
261,261,2595,105,1184,1938,2591,2378,330,2166,610
782,782,1430,714,1311,2437,1843,2166,857,2327,414
986,986,853,1783,1157,1769,1784,2046,1349,2455,1256
2114,2114,235,976,458,2700,2075,1669,2525,1619,1422
1856,1856,1440,163,1411,2254,2090,2101,1004,651,657
1840,1840,2075,900,1222,1485,1622,2253,2520,1401,1719
1958,1958,2513,2583,2010,467,1582,410,595,1877,2713
997,997,2709,722,315,543,2238,2021,142,2447,974
2381,1045,701,1601,2381,849,167,2460,1996,213,2551
187,187,2418,2184,965,1405,1862,2344,2696,2475,1103
2383,2072,2383,372,1921,2076,324,1123,1252,2191,1825
2382,2382,1293,16,1772,1366,841,2156,2502,839,2712
713,713,2514,1766,2432,1351,2215,545,919,1074,1177
1815,2681,1815,1010,1576,941,425,1135,2306,2463,2112
1937,1937,1851,2435,599,1373,671,1085,682,1879,871
276,276,259,174,249,2601,2020,752,2223,1878,429
334,2412,879,334,984,775,2263,836,404,719,1930
2300,2300,2453,2466,1738,1311,210,527,1221,465,2693
1816,1816,2062,2180,1548,982,1621,1312,106,687,1557
1773,1773,912,2231,2658,1189,1777,220,429,1417,402
2319,2319,2459,1222,1641,975,2421,192,1278,2115,41
1771,2399,1887,1002,1771,628,488,487,1981,915,1171
968,968,2376,1707,2186,2070,60,2571,2332,1040,2400
2509,2509,1135,1087,2463,818,2670,2724,579,2318,391
2155,2155,1450,2598,791,1424,279,2017,2303,1287,1858
550,1342,2207,489,1480,1648,2529,550,1427,1733,1168
2265,2265,194,560,480,1215,2253,927,22,2117,2662
756,163,1010,1321,2411,2493,571,408,1330,2375,1550
1851,1851,1273,871,1937,780,2315,939,2169,525,2255
1883,571,388,1230,1883,2554,2286,1775,2383,2508,955
2216,2216,135,1322,1150,1737,2323,1425,2656,94,706
1288,1121,1288,342,1448,1947,676,558,2347,337,2182
70,70,938,2159,171,2510,1812,618,112,1160,2542
2218,2218,1035,590,1515,283,2587,1945,2086,1391,1264
943,943,1413,2321,2430,827,1570,1162,2679,624,2589
1921,1921,1920,2503,19,2072,2116,955,372,1810,2383
2230,137,2230,39,2247,602,21,1539,2615,1345,2069
1244,1244,1236,617,236,2632,2646,956,1354,2284,952
2442,1533,2442,1368,275,2002,913,1478,998,1637,2099
1916,1916,2641,913,1637,1050,1308,1968,2657,1059,222
648,163,1010,1321,2411,2493,571,408,1330,2375,1550
28,2083,28,2354,1902,1614,2666,948,265,969,364
1232,1232,1497,726,214,1778,2302,2167,306,2159,1263
1292,1292,475,1607,1207,177,1765,274,2106,1518,1217
613,613,552,2213,10,226,1132,1806,307,2585,1007
2307,2307,878,1938,1843,1708,414,1861,1979,2210,2378
1811,1811,72,378,995,2303,2408,1675,2017,211,2165
572,572,2723,1312,425,1816,285,945,1815,1414,2681
1207,1207,917,2671,1292,1927,1141,726,1725,2033,1842
614,614,2117,2662,1711,30,787,2599,621,157,446
2465,2465,1637,913,2504,2362,1698,222,2657,2197,2119
615,615,536,840,518,195,1305,1703,1994,1710,377
2710,2710,1142,1546,2115,1083,2066,1627,2048,1688,2076
2320,2320,2601,106,2357,1200,1055,2625,2113,2093,2547
1930,836,2699,1930,1091,719,880,849,312,2089,1045
1869,1869,1597,1320,1808,1456,1990,573,975,1249,570
2717,2717,131,205,1298,229,567,1899,1822,1337,2082
2703,298,1821,2703,1328,165,1205,350,1981,101,599
673,1836,673,2366,2190,612,454,867,1667,1431,412
1910,1910,1866,216,2680,2040,1372,1474,45,2706,1947
2326,2326,1411,1513,1078,2090,196,783,1541,1591,725
680,680,1170,384,1118,1324,1356,16,347,2137,2696
2191,1252,2191,1123,2503,420,1250,1935,118,243,688
837,934,441,1670,837,2178,1156,692,1213,988,2048
2341,1354,2573,952,2341,2016,956,234,2284,2171,319
396,163,1010,1321,2411,2493,571,408,1330,2375,1550
2620,1576,425,2620,2306,2544,2112,1700,831,1615,1188
399,399,1469,1323,1417,151,734,1251,555,1970,2459
2262,2262,195,2050,2102,2246,1305,2056,43,1567,155
1672,1672,2472,2523,2724,1492,178,647,2167,1569,1561
1479,1479,284,1493,1965,2417,2585,2474,1826,1318,303
2394,1491,2394,2367,2404,1063,206,2730,1302,1265,1376
2628,2628,2656,45,1474,1645,135,557,2078,1845,2055
780,780,939,2315,1975,1838,14,263,200,1471,2633
213,1996,1809,213,2721,1353,167,1777,2696,1016,402
749,749,1899,1732,166,170,2136,2611,56,1755,1030
1466,1466,2261,1934,575,2295,294,1202,1414,1797,699
1146,1146,1074,1391,1367,1925,510,1264,891,2362,1982
2288,2288,790,537,337,539,2182,1638,149,1463,1744
1701,1701,2048,1308,1130,1050,2710,975,837,1670,2178
740,740,111,808,669,1185,1512,2634,170,1654,2321
2403,665,176,2403,1974,2360,1527,382,378,1603,1807
189,466,1758,189,2687,2589,759,134,14,200,63
423,423,2512,1933,350,1012,1345,742,20,1472,2675
452,2630,452,266,1132,1806,1238,199,1547,2595,1843
1048,1048,1984,1673,2187,991,2679,2530,1370,848,1009
2535,1034,1823,2535,122,2329,1468,2492,2517,1216,496
2569,2569,1319,2644,2050,1681,1567,155,2522,2728,2626
1070,1070,1505,356,1973,741,2618,1219,1165,631,1675
1242,1242,2151,760,1595,588,203,1728,2598,2065,1956
302,2629,530,1690,2506,702,136,1018,302,1876,688
1587,1587,1314,1772,841,1031,2502,31,85,81,1452
2045,2045,2493,1703,920,1241,759,1487,1901,2196,1967
2560,2560,736,2050,693,1681,2270,1872,1520,33,1540
1615,2160,1615,1176,56,1569,1576,425,2306,1885,1208
244,244,416,316,497,982,1183,2159,1621,1317,2545
2060,2060,1712,2160,2501,1615,1176,2639,407,490,118
1633,1042,1208,1633,2274,188,2322,2276,230,2730,1302
1096,163,1010,1321,2411,2493,571,408,1330,2375,1550
798,2390,798,959,2013,2586,1167,2051,1704,143,283
792,792,252,1016,632,1344,1031,2724,2523,979,1258
2544,1576,425,2620,2306,2544,2112,1700,831,1615,1188
372,2072,2383,372,1921,2076,324,1123,1252,2191,1825
857,857,467,2585,1430,1877,2713,1843,226,1493,1965
1529,1529,1959,1126,2678,26,1971,542,821,426,1593
1557,1557,2138,1160,673,1836,2062,982,938,809,2621
2305,2305,2328,1249,2553,2158,1605,1320,2350,1139,2660
1707,1707,1995,968,704,1010,2332,108,1735,1202,1940
456,2727,2030,1259,1290,1194,1266,456,1565,28,969
714,714,1430,2378,1274,782,210,875,731,2437,1843
1769,1769,1951,853,595,326,1784,2455,1544,986,2126
906,906,611,1536,2301,1073,1337,1161,528,721,924
907,907,541,815,1501,2020,644,1317,1755,768,2611
514,514,170,1203,1795,1208,1885,1633,2274,1307,230
2159,2159,171,70,497,316,1563,512,244,1183,2172
1171,1143,2202,1171,1573,149,1818,442,1991,337,1638
1342,1342,2207,489,1480,1648,2529,550,1427,1733,1168
124,163,1010,1321,2411,2493,571,408,1330,2375,1550
2678,26,2678,137,717,1289,39,2247,1903,1737,1600
704,704,2232,2332,2642,217,2095,471,2268,2018,2545
1331,1750,257,638,1828,2,47,1233,583,846,2603
530,2629,530,1690,2506,702,136,1018,302,1876,688
1787,1787,2219,2194,406,2425,1947,2706,1108,2096,2493
699,1976,2038,699,679,1873,365,1332,1963,1848,1934
2346,2346,1550,2226,2571,938,640,233,1890,1405,1862
920,920,1833,2045,1154,482,1658,1014,189,1758,1634
1004,1004,2254,2101,79,2206,2466,1215,1458,927,1411
2167,2167,700,1263,306,341,65,1672,2472,323,826
1419,1419,1873,2038,1976,1332,1329,365,699,1410,679
717,238,1998,1289,1696,2592,2674,717,581,1903,929
2659,2659,2711,2442,1533,884,1368,945,724,275,2009
459,459,561,2122,1736,1568,770,2480,1481,1001,2490
461,461,1125,1248,1349,2377,964,129,1076,2204,82
2289,2289,1732,1594,788,1640,490,320,1000,587,268
173,173,1621,1317,805,1543,1531,232,402,1620,2730
172,172,787,974,2447,1516,315,548,121,614,634
167,1996,1809,213,2721,1353,167,1777,2696,1016,402
165,298,1821,2703,1328,165,1205,350,1981,101,599
2646,2646,902,1639,617,1619,2389,2439,377,1830,2347
901,901,258,219,405,1011,1738,1148,1179,260,2466
891,891,828,1074,1709,1982,1623,957,2043,1281,2657
159,159,2293,620,435,1820,1306,1641,2311,1258,883
1733,1342,2207,489,1480,1648,2529,550,1427,1733,1168
833,833,1954,1580,2545,749,808,1370,111,740,94
149,337,149,2182,539,1638,1744,1463,702,821,109
1388,1388,1777,876,259,2372,213,2721,174,2365,1996
1384,1384,1127,593,651,2022,662,2075,1081,1225,1336
1156,934,441,1670,837,2178,1156,692,1213,988,2048
1028,1028,988,1446,1213,1948,1532,658,1909,570,2419
2135,2135,2557,594,2189,985,303,1444,1881,686,2363
1968,2119,1968,2641,1637,913,747,700,635,2692,2657
1088,1088,1581,1693,254,978,1339,2449,2164,1421,963
2137,2137,316,1870,497,1892,1324,640,1183,1118,2658
364,2083,28,2354,1902,1614,2666,948,265,969,364
468,468,618,2015,2197,49,2087,98,2576,1551,525
2635,2086,2635,847,2218,2369,265,969,948,2153,1614
1854,1854,1971,1019,1914,2237,2023,916,1850,1673,2444
689,689,2644,2545,1415,2095,123,706,2633,2729,2679
2278,2278,831,1569,1618,2657,1059,1135,2306,2112,945
348,348,2551,2365,2699,836,1930,1091,719,1026,1417
10,10,613,610,552,2213,2437,783,1062,369,1175
671,671,682,1937,1227,163,1851,1104,1907,545,751
2410,2410,1585,1340,2100,2286,840,2508,1775,2543,479
2041,2041,820,738,733,1642,1534,1829,599,1394,1472
609,609,1077,2297,893,2541,1339,2588,1759,986,617
1488,1488,2478,534,823,2421,2225,1357,796,2670,1531
52,52,1931,233,2460,2571,1890,2208,2608,1359,108
2096,2096,181,153,2194,1901,1498,1218,2196,1852,2109
1338,1338,2042,2541,347,1864,2006,1944,1554,660,4
887,887,286,367,395,1263,1801,1164,1699,1537,1735
393,393,2085,2047,2682,2241,1346,794,745,218,2043
2533,2533,901,813,1172,607,1257,2453,1724,1694,2152
2311,2311,903,2660,1452,435,1390,2293,159,2015,139
994,994,417,2347,1830,558,450,1121,153,25,1288
2075,2075,1840,781,737,709,662,1084,2022,192,604
2083,2083,28,2354,1902,1614,2666,948,265,969,364
392,392,1698,2686,1569,15,1929,190,145,632,1613
2486,515,2486,12,935,247,1409,618,1512,128,774
382,382,2360,1204,148,292,1897,320,1000,490,1974
702,2629,530,1690,2506,702,136,1018,302,1876,688
1460,1460,1327,908,2714,659,2594,2353,892,281,1148
791,791,1867,612,1997,1071,608,660,1944,247,1160
1439,1439,1201,472,409,1605,556,426,2305,153,698
1459,1459,864,1841,1786,1738,1781,291,1005,2677,1444
1939,2575,1939,561,1736,2480,424,1568,2122,770,1001
2506,2629,530,1690,2506,702,136,1018,302,1876,688
1396,492,1321,2144,1915,2584,373,1896,954,951,1173
1382,1382,1877,2713,2608,1806,467,621,1547,446,2290
1014,1634,1014,920,2450,1241,21,1628,1403,2487,1658
898,898,1387,1761,162,280,850,2297,2240,1349,1201
90,90,1649,2564,2196,2471,1901,977,993,673,1836
897,897,2567,1194,1290,456,1259,2030,1266,2727,2337
425,1576,425,2620,2306,2544,2112,1700,831,1615,1188
1753,1753,2068,81,1401,2258,578,2707,2136,681,1447
67,1898,1575,67,1051,1066,1924,2171,2573,234,2648
1134,1134,1805,1112,1880,2132,310,961,623,1951,2686
516,516,1742,422,889,1033,785,1419,928,2717,927
1486,1486,2118,2272,13,1581,1693,978,1216,223,1394
2351,2351,1647,1003,2065,683,620,2650,427,2224,2029
2310,2310,2485,331,642,1973,631,389,1165,824,2329
175,175,1776,926,2561,2415,2118,2536,2650,237,322
1547,1547,1806,2630,1877,452,2213,2713,226,2431,2662
1426,1426,1845,1894,778,1784,140,529,418,695,880
1598,1598,2118,1964,339,481,1471,2536,1586,2598,256
1289,238,1998,1289,1696,2592,2674,717,581,1903,929
1879,1879,551,2380,2255,2435,1410,2427,1963,170,1535
1599,1599,2249,1009,0,1370,1298,960,486,2316,1377
1880,1880,1805,1134,1112,1407,2103,2078,1615,1176,563
607,607,2282,786,1389,183,1571,947,1206,1062,2397
610,610,552,10,369,1175,2583,2010,1958,467,613
1228,1228,1813,12,2259,24,935,91,2612,2654,141
1229,1229,2612,141,356,371,380,1228,871,1474,45
611,611,906,1073,1161,1337,922,2608,1359,2378,621
1076,1076,1582,896,1218,1455,2513,1084,709,2391,2204
1276,868,1276,1762,319,1199,1295,2251,2505,1280,1588
1629,1629,1392,698,2214,1339,54,463,995,1917,403
2726,2726,2538,322,715,440,1155,2453,911,1922,989
282,282,1423,325,2162,2686,421,984,2263,48,775
1643,1643,2139,727,1900,2567,474,2446,1308,1050,335
1597,1597,1869,2087,1082,1808,1546,1320,110,1627,903
1868,1868,1841,2064,1760,92,2189,1444,2677,37,277
1596,1596,825,603,2540,2431,226,1062,10,2420,366
638,1750,257,638,1828,2,47,1233,583,846,2603
354,354,1718,1924,1206,779,1579,1603,484,667,445
2378,2378,714,446,1274,621,2595,1843,2120,1073,452
805,1543,805,363,815,2285,1317,424,2231,108,758
1691,1691,146,208,71,2232,2503,537,1918,1778,2642
1544,1544,110,1082,1768,595,598,1722,358,896,1456
2317,2317,2036,966,405,2697,1600,1781,1459,1109,1020
1659,1659,1130,1306,2225,222,275,1247,1533,297,822
1087,1087,2509,844,1967,1376,1089,644,2020,1118,1317
2275,1713,2275,953,274,1607,1772,639,2671,256,1366
2276,1042,1208,1633,2274,188,2322,2276,230,2730,1302
2277,2277,2212,640,2097,1324,1118,2203,1405,2184,1862
668,668,169,1509,1177,343,1827,321,1623,493,338
2051,1704,2051,2586,2033,1308,1050,1725,1842,318,2129
2405,2405,944,2167,2657,1059,1209,2223,2495,1135,341
570,1909,570,1047,1813,1320,903,2576,24,2654,988
810,810,1799,266,199,2142,2715,1226,1465,1608,2000
205,567,205,1336,1081,229,1298,1188,84,674,587
2595,2595,27,2437,1184,2630,452,2213,261,2378,1547
1543,1543,805,363,815,2285,1317,424,2231,108,758
2571,2571,52,1892,2022,2208,770,233,1736,662,1890
1825,915,1825,96,241,487,690,269,2461,149,1463
841,1772,841,1587,2382,397,1408,498,99,274,1855
2580,2580,2161,2203,2564,2212,732,2624,2157,1251,2471
783,783,1184,2437,1175,10,1591,657,613,1132,2619
601,601,1428,1217,1518,1831,2226,367,1281,1264,1785
2443,2443,366,834,1350,1039,341,819,2407,959,1167
881,881,2376,2373,1707,2252,1791,696,721,1801,1699
2524,313,1635,2524,703,1301,1433,394,2676,225,1693
651,651,2222,590,2086,2635,1651,2101,1127,2254,156
2115,2115,2710,949,1770,1214,2421,2225,2066,626,1546
2354,2083,28,2354,1902,1614,2666,948,265,969,364
1406,1461,1406,1952,403,790,766,2643,2428,1551,1360
1166,1166,683,1730,1792,2660,352,1688,435,1869,159
981,967,981,75,130,88,753,2336,2718,2291,1099
778,1894,778,2609,2645,1025,645,549,1426,36,1962
1118,1324,1118,429,2093,301,220,2547,2137,818,402
1117,1117,2146,1020,577,1152,2663,630,1186,771,250
1834,1834,639,2520,964,1434,308,1605,1231,1064,2154
2679,2679,643,977,2644,2321,943,1570,827,2430,1162
1309,1309,982,2332,188,2276,1208,2322,1042,2274,230
1310,1310,1975,2687,2589,200,14,371,350,380,2512
1307,923,1307,2730,416,1302,170,1317,244,2394,1491
1308,1050,1308,2066,1916,1368,2442,911,1533,2511,275
2687,2687,1975,200,2589,14,673,669,972,776,535
2488,2488,1211,1921,553,444,2006,999,1615,1888,178
2526,2526,991,1008,2691,2195,2705,1019,835,2539,1854
1135,1135,2724,2278,2318,2509,831,2523,391,647,493
2557,2557,414,2142,2135,2185,2028,1843,1881,2591,2363
413,492,1321,2144,1915,2584,373,1896,954,951,1173
1077,1077,2272,1439,2305,1581,1693,893,359,254,978
313,313,1635,2524,703,1301,1433,394,2676,225,1693
2648,2596,2361,2648,1395,1824,2636,1051,2695,1037,1575
1626,1626,199,1806,266,936,1547,1226,799,608,2664
852,852,1845,1046,140,1889,1513,695,116,1024,52
1648,1342,2207,489,1480,1648,2529,550,1427,1733,1168
1983,1983,48,1239,2436,325,1423,338,977,2580,2127
961,961,595,312,280,112,850,1387,358,598,2089
1967,1376,1967,2404,2463,1087,2394,1491,2367,228,164
775,2263,775,404,984,2639,2501,2412,879,1423,745
2532,2532,672,2551,1441,249,2418,2022,662,174,965
1151,877,1151,464,1369,1527,1329,2031,1107,628,488
2400,3,2324,519,1040,2400,2049,1332,63,164,2215
2531,492,1321,2144,1915,2584,373,1896,954,951,1173
2398,2398,2647,1683,616,873,1655,2371,359,893,1236
2530,848,2530,946,1265,2706,643,845,1914,916,1850
2529,1342,2207,489,1480,1648,2529,550,1427,1733,1168
2528,2528,1490,867,422,1431,1944,1226,634,2715,660
885,885,2332,2274,1042,2276,2368,2322,1633,230,1208
1662,1662,308,1408,1499,500,604,841,1772,2669,2156
285,285,1671,572,1679,502,1585,2633,25,499,2078
286,286,1735,108,2683,316,497,1892,363,1359,2608
251,2057,251,2054,2121,2445,1697,1318,1161,1337,1493
250,250,1186,1464,2292,2540,2445,2677,2146,2638,1020
249,249,174,1225,1777,429,1388,672,1558,1519,1720
118,688,93,1935,243,118,1250,1853,984,404,2263
2064,2064,92,37,277,1868,2698,250,1841,2594,1257
781,781,2231,1225,900,301,429,2279,815,1892,363
2640,2640,1375,1602,1068,2413,1113,126,989,377,2415
563,563,2035,2023,1407,2103,999,2006,1880,2160,2132
581,238,1998,1289,1696,2592,2674,717,581,1903,929
1173,492,1321,2144,1915,2584,373,1896,954,951,1173
1489,1489,494,835,1718,537,2655,1197,2239,262,2095
115,2092,115,1673,442,1227,2205,1971,2587,2127,678
1853,1853,1935,93,1250,243,118,688,89,775,2263
1462,1462,1380,2370,1330,589,1262,1589,1395,2424,523
2708,163,1010,1321,2411,2493,571,408,1330,2375,1550
2618,1219,741,1165,631,1973,2618,2416,2403,2130,1577
1585,1585,2410,2286,2508,1775,687,1414,285,572,1726
1699,1699,529,1248,2568,964,235,2266,1778,197,2513
349,349,1657,1472,602,576,1229,967,1766,1043,127
350,2512,350,943,827,1162,1310,2321,1570,2675,2430
1196,1355,1299,109,1196,403,335,2053,645,1756,104
1194,2727,2030,1259,1290,1194,1266,456,1565,28,969
2050,2050,1872,1520,33,2262,2569,2560,214,726,2348
1193,1592,2548,619,1507,1193,1692,1092,2597,2296,1524
2048,1701,2048,1308,1130,1050,2710,975,837,1670,2178
1195,163,1010,1321,2411,2493,571,408,1330,2375,1550
2049,164,78,63,1942,2049,212,1376,1963,58,2393
574,163,1010,1321,2411,2493,571,408,1330,2375,1550
575,294,575,2423,1934,84,674,1060,1618,1267,2306
576,576,127,1043,271,423,137,2230,2247,2481,2175
1208,1042,1208,1633,2274,188,2322,2276,230,2730,1302
1379,1379,2142,810,1799,414,1400,622,2559,1132,936
1774,1774,1492,979,178,1297,353,2303,211,2017,1203
1812,1812,2510,316,497,2721,213,938,1353,1890,1809
1844,163,1010,1321,2411,2493,571,408,1330,2375,1550
2547,2093,2547,829,2601,1118,2097,1324,429,2073,2113
1843,1843,467,1132,1430,2630,857,2713,1877,452,1506
1842,1842,2033,1725,65,2495,275,2442,341,297,1533
1192,1192,1341,811,1502,2061,336,1415,1110,1140,2462
2188,2188,1746,575,294,25,886,362,1553,2543,205
547,547,1551,588,525,145,1613,585,2015,2650,1316
1767,1767,588,2259,24,2654,1316,1424,547,2650,1456
546,546,54,762,2197,768,1676,1551,2604,1100,1672
1931,1931,1806,1547,634,1944,1877,2630,2213,452,2713
2429,2429,1843,1506,414,990,1803,434,1780,1255,1274
2682,2047,2682,2085,2140,2220,2129,1432,1922,2525,556
1953,1953,1537,259,1905,1191,1359,2231,108,2084,1812
2671,2671,1306,1130,1725,1842,2033,1375,2413,1113,274
770,1568,2122,1736,770,1001,1103,1225,634,301,712
2459,2459,192,151,734,1630,1340,2319,1222,2104,399
612,1997,612,1867,1160,1649,791,2089,112,777,247
2160,2160,1615,1176,56,1569,1576,425,2306,1885,1208
2197,2197,585,2015,31,1452,85,1698,213,2721,98
2358,2358,1074,1435,828,1819,1391,1264,980,6,1367
2389,2389,617,2663,2541,2646,2558,1117,2234,46,1619
664,664,1261,2411,2552,1500,1895,1740,1788,2082,542
710,710,2626,538,2667,1105,2688,477,865,680,888
708,513,708,2503,669,419,370,1980,149,1638,2182
1705,1705,635,2518,1081,1026,1225,2058,2614,794,218
1944,1944,1931,2721,1996,213,1809,167,1353,1547,1806
1007,1007,2213,613,1806,307,1547,2474,520,1793,2595
107,107,1210,1561,1728,805,190,585,1543,1613,178
2215,2215,400,1089,1025,2070,60,1982,329,2514,2689
1203,1203,1885,2722,514,979,1492,1615,2160,1176,178
628,628,877,176,1974,1151,665,2403,2399,1887,1002
1202,1202,1269,206,1063,2261,1265,946,640,1466,991
1204,1204,2368,382,2360,763,885,1210,1919,107,370
1176,2160,1615,1176,56,1569,1576,425,2306,1885,1208
826,826,2167,1263,2510,1812,2683,70,31,85,1232
1345,1345,1012,20,742,925,2243,466,1220,2456,943
592,592,2705,2195,490,148,320,433,1000,1897,1019
2292,2292,2349,1257,1186,1464,250,2142,731,374,2185
741,1219,741,1165,631,1973,2618,2416,2403,2130,1577
1147,1147,197,597,2163,2344,334,2412,1251,1990,1423
2554,571,388,1230,1883,2554,2286,1775,2383,2508,955
123,123,706,537,401,580,2545,94,2288,2729,565
360,360,2388,1279,428,2267,2124,471,1969,2397,1422
2360,382,2360,1204,148,292,1897,320,1000,490,1974
1179,899,1179,2146,22,577,1152,1020,2638,1090,258
1188,1188,56,2112,1700,2306,2620,2544,425,1576,2071
2396,2396,1913,2331,1555,2161,2483,2010,1989,2135,2464
750,750,789,1548,2362,2180,32,2369,694,2153,867
1230,571,388,1230,1883,2554,2286,1775,2383,2508,955
669,669,2018,1071,612,1208,1633,2103,230,1407,1867
2665,2665,320,490,1000,433,1897,148,1025,2400,557
1907,1907,1748,2432,1267,2435,545,2027,886,1553,362
1416,163,1010,1321,2411,2493,571,408,1330,2375,1550
1855,498,99,1855,1538,841,744,1772,1216,2280,223
1407,2103,1407,1880,146,1176,2160,1615,563,2132,2503
2308,2308,1053,2668,1114,1389,715,1499,1434,308,786
2162,2162,2392,2686,282,2263,775,404,479,984,1116
786,786,1389,962,950,1053,2668,1268,2174,2308,1145
1008,1008,2691,2526,999,2423,2705,2195,1947,420,292
2587,2587,2218,1035,600,720,590,283,1945,1515,187
2357,1200,2357,2625,106,1055,913,31,85,1720,2320
734,734,151,2302,2375,1469,1630,2610,1417,2058,1026
850,850,1387,2601,961,2549,2110,2242,412,2190,1473
851,851,314,526,2416,1577,1816,1466,285,572,1741
2608,2608,1877,2713,1359,2583,1382,467,1806,446,1547
1311,1311,2327,782,210,1093,527,1747,207,1525,2693
1102,1102,363,2231,108,347,1773,15,1189,436,2658
2303,2017,211,2303,1314,1450,2598,378,1492,85,178
2322,1042,1208,1633,2274,188,2322,2276,230,2730,1302
2233,2233,192,2375,1871,911,479,2066,1198,2282,1768
203,203,432,1546,1627,1242,917,1717,239,1768,2299
227,227,691,2052,1832,1362,459,132,2575,1939,1728
1558,1558,1720,801,770,1324,2601,1001,2122,2721,1118
479,479,2162,2375,2233,984,2263,2009,404,2139,2711
1238,1238,2630,452,1547,266,199,1132,1806,799,2595
1562,1562,778,1392,1299,2013,109,1355,1425,1196,698
463,463,89,1372,403,1474,45,335,1463,539,1638
464,464,1527,1897,320,148,490,1000,267,460,2403
1033,1033,785,928,1443,679,263,1072,699,1873,2360
1034,1034,1823,2535,122,2329,1468,2492,2517,1216,496
764,764,624,74,338,533,673,977,1512,1836,943
356,356,469,1421,1070,1229,1960,753,638,1828,1233
886,362,1553,886,1250,688,118,84,1723,243,909
1493,1493,1965,2585,1479,857,1711,2117,284,2662,1337
1494,1494,1335,476,2655,1066,2260,2148,1283,1966,2344
499,1679,499,909,1723,2723,2659,535,2503,2508,1305
498,498,99,1855,1538,841,744,1772,1216,2280,223
1010,1010,2681,2463,1815,1735,2670,999,1707,2160,2730
1550,1550,233,938,1890,836,1360,2346,719,138,1930
2375,2375,2058,151,734,1026,2372,876,2302,2365,1469
1330,1330,589,2256,757,1462,1584,1583,2257,491,354
408,408,2134,2574,1720,801,1558,74,2362,533,2721
571,571,388,1230,1883,2554,2286,1775,2383,2508,955
2493,2493,1901,2196,1154,2706,482,1833,1108,643,2045
2411,2411,2069,2615,433,1019,991,2613,1625,592,2380
1321,492,1321,2144,1915,2584,373,1896,954,951,1173
2204,2204,82,125,1455,605,655,2074,160,1128,1136
2494,212,2494,752,1715,2071,164,1942,842,2482,78
835,835,2252,537,845,1489,57,1556,1202,2095,2526
1755,1755,1388,1777,777,1716,1732,2372,1905,815,876
964,964,461,1605,1125,1248,1349,1834,2377,2479,235
1657,1657,349,663,2628,1472,602,1341,2428,746,852
1079,1079,2104,737,1469,709,2590,1630,151,734,1417
2566,2566,2480,1303,2169,543,2621,1667,454,1613,1705
1658,1658,2450,920,63,1942,164,2049,78,1487,2059
2613,2613,1625,1848,972,58,1535,1019,51,637,1963
2614,2614,2365,174,249,2242,2366,2190,1473,2110,1225
2615,2615,1984,2411,1673,2205,137,2247,39,2230,1097
1674,492,1321,2144,1915,2584,373,1896,954,951,1173
2551,2551,1646,1388,1777,1116,2381,348,849,701,1045
1987,2433,1987,296,793,693,2039,2014,311,2550,729
1986,1986,646,2636,2298,477,865,2685,2688,2296,1044
1985,1985,1205,1584,2644,1483,2330,1352,1893,2256,2257
1498,1498,2097,2295,184,1764,2093,2547,2163,2196,332
1984,1984,2615,1539,1048,991,511,2411,2462,1234,1482
1119,1119,1182,644,2234,90,1417,1294,2028,2279,429
890,890,776,454,132,1303,2621,1975,200,2687,0
762,54,762,546,525,1551,1100,1676,698,1392,231
755,755,1237,1548,2180,1906,1755,174,644,249,737
1465,1465,810,1799,266,199,1081,634,2000,1226,1608
2205,2205,1959,1126,115,2092,2615,2411,442,1984,1057
2385,2385,752,2494,1089,212,2020,249,174,644,276
11,11,1453,1274,2521,1972,1479,374,2457,1826,1318
1797,1797,1934,1019,937,2295,1466,575,2613,991,592
1800,238,1998,1289,1696,2592,2674,717,581,1903,929
1799,810,1799,266,199,2142,2715,1226,1465,1608,2000
1798,1798,228,1037,802,1376,1265,946,1967,1087,1940
50,163,1010,1321,2411,2493,571,408,1330,2375,1550
2052,2052,227,459,132,1795,1728,514,763,750,789
2673,2673,863,1696,1289,1739,278,1998,717,2592,2674
2507,1224,2689,2507,2215,400,1304,510,1790,824,843
1445,1445,931,121,1943,548,878,1005,172,2479,864
828,828,891,2043,1623,2402,2358,318,2348,1904,2495
1381,1381,830,2404,1491,2394,2613,1625,991,2367,652
959,2407,1167,819,959,859,160,61,531,1993,2079
1760,1760,1868,119,2064,1841,892,260,992,2677,100
1367,1367,1391,1925,1264,2402,2218,318,1146,2390,798
958,492,1321,2144,1915,2584,373,1896,954,951,1173
949,1214,949,1770,626,2115,483,1347,1247,1047,1028
956,1354,2573,952,2341,2016,956,234,2284,2171,319
